"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX280501_Wealth_Family_Listing_Mover_Out","How about you/[FU member])? Are you/Is [FU member] currently living here/there as part of the family?","DCW_280501.doc","enumerated","","","","","","","PhenX","PX280501010100","","","","","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280501_Wealth_Family_Listing_Household","Next, I’d like to know who lives here/there as part of the family. How about you/[FU member]) Are you/Is [FU member] currently living here/there) as part of the family?","DCW_280501.doc","enumerated","","","","","","","PhenX","PX280501010200","","","","","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280501_Wealth_Family_Listing_Household_Other","Is anyone else currently living here/there as part of the family including any newborn children?","DCW_280501.doc","enumerated","","","","","","","PhenX","PX280501010300","","","","","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280501_Wealth_Family_Listing_Mover_Out_Leave_Month","When did [FU member] move out? Do you know what season it was?","DCW_280501.doc","enumerated","","","","","ASK IF Q1.1=Yes","","PhenX","PX280501010400","","","","","January","February","March","April","May","June","July","August","September","October","November","December","Winter","Spring","Summer","Fall","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280501_Wealth_Family_Listing_Mover_Out_Leave_","When did [FU member] move out? Year","DCW_280501.doc","integer","","","","","ASK IF Q1.1=Yes","","PhenX","PX280501010500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280501_Wealth_Family_Listing_Mover_Out_Birthday_Month","Now, I would like to check some birthdate information. What is your/[FU member]’s complete birthdate? Month","DCW_280501.doc","enumerated","","","","","","","PhenX","PX280501010601","","","","","January","February","March","April","May","June","July","August","September","October","November","December","Don't know/Refused","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280501_Wealth_Family_Listing_Mover_Out_Birthday_Day","Now, I would like to check some birthdate information. What is your/[FU member]’s complete birthdate? Day","DCW_280501.doc","integer","","1","31","","","","PhenX","PX280501010602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280501_Wealth_Family_Listing_Mover_Out_Birthday_Day_Enumerated","Now, I would like to check some birthdate information. What is your/[FU member]’s complete birthdate? Day. Don't know/Refused","DCW_280501.doc","enumerated","","","","","","","PhenX","PX280501010603","","","","","Don't know/Refused","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280501_Wealth_Family_Listing_Mover_Out_Birthday_Year","Now, I would like to check some birthdate information. What is your/[FU member]’s complete birthdate? Year","DCW_280501.doc","integer","","1880","","","","","PhenX","PX280501010604","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280501_Wealth_Family_Listing_Mover_Out_Birthday_Year_Enumerated","Now, I would like to check some birthdate information. What is your/[FU member]’s complete birthdate? Year. Don't know/Refused","DCW_280501.doc","enumerated","","","","","","","PhenX","PX280501010605","","","","","Don't know/Refused","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280501_Wealth_Family_Listing_Age","Could you tell me how old (you are/he is/she is)? (IF necessary: What is your best estimate?)","DCW_280501.doc","integer","","1","120","","ASK IF Q1.6.1 = Don't know or Q1.6.3 = Don't know or Q1.6.5 = Don't know","","PhenX","PX280501010606","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280501_Wealth_Family_Listing_Age_Enumerated","Could you tell me how old (you are/he is/she is)? (IF necessary: What is your best estimate?) Other","DCW_280501.doc","enumerated","","","","","ASK IF Q1.6.1 = Don't know or Q1.6.3 = Don't know or Q1.6.5 = Don't know","","PhenX","PX280501010607","","","","","Don't know","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280501_Wealth_Family_Listing_Age_16","Can you tell me if [FU member] is age 16 or older?","DCW_280501.doc","enumerated","","","","","ASK IF Q1.6.7 = Don't know","","PhenX","PX280501010608","","","","","Yes","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
