"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX751502_Youth_Cigarette_Purchase_Behaviors_And_Experiences_Friend","During the last 30 days, about how many times (if any) have you bought cigarettes ... by having a friend or relative buy them for you?","DCW_751502.doc","enumerated","","","","","","","PhenX","PX751502010000","","","","","None","1 Time","2 Times","3-5 Times","6-9 Times","10 or More","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX751502_Youth_Cigarette_Purchase_Behaviors_And_Experiences_Vending_Machine","During the last 30 days, about how many times (if any) have you bought cigarettes ... on your own from vending machines?","DCW_751502.doc","enumerated","","","","","","","PhenX","PX751502010100","","","","","None","1 Time","2 Times","3-5 Times","6-9 Times","10 or More","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX751502_Youth_Cigarette_Purchase_Behaviors_And_Experiences_Mail","During the last 30 days, about how many times (if any) have you bought cigarettes ... through the mail?","DCW_751502.doc","enumerated","","","","","","","PhenX","PX751502010200","","","","","None","1 Time","2 Times","3-5 Times","6-9 Times","10 or More","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX751502_Youth_Cigarette_Purchase_Behaviors_And_Experiences_Store_Carton","During the last 30 days, about how many times (if any) have you bought cigarettes ... ...in a store where you pick up the pack (or carton) and bring it to the check-out counter?","DCW_751502.doc","enumerated","","","","","","","PhenX","PX751502010300","","","","","None","1 Time","2 Times","3-5 Times","6-9 Times","10 or More","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX751502_Youth_Cigarette_Purchase_Behaviors_And_Experiences_Store_Clerk","During the last 30 days, about how many times (if any) have you bought cigarettes ... in a store where the clerk has to hand you the pack or carton?","DCW_751502.doc","enumerated","","","","","","","PhenX","PX751502010400","","","","","None","1 Time","2 Times","3-5 Times","6-9 Times","10 or More","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX751502_Youth_Cigarette_Purchase_Behaviors_And_Experiences_Other","During the last 30 days, about how many times (if any) have you bought cigarettes ... bought them in some other way?","DCW_751502.doc","enumerated","","","","","","","PhenX","PX751502010500","","","","","None","1 Time","2 Times","3-5 Times","6-9 Times","10 or More","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX751502_Youth_Cigarette_Purchase_Behaviors_And_Experiences_Number_Purchases_Personal_Consumption_Supermarket","During the last 30 days, about how many times (if any) did YOU buy cigarettes for your own use ... at a big supermarket?","DCW_751502.doc","enumerated","","","","","","","PhenX","PX751502020000","","","","","None","1 Time","2 Times","3-5 Times","6-9 Times","10 or More","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX751502_Youth_Cigarette_Purchase_Behaviors_And_Experiences_Grocery","During the last 30 days, about how many times (if any) did YOU buy cigarettes for your own use ... at a small grocery store?","DCW_751502.doc","enumerated","","","","","","","PhenX","PX751502020100","","","","","None","1 Time","2 Times","3-5 Times","6-9 Times","10 or More","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX751502_Youth_Cigarette_Purchase_Behaviors_And_Experiences_Drugstore","During the last 30 days, about how many times (if any) did YOU buy cigarettes for your own use ... at a drugstore?","DCW_751502.doc","enumerated","","","","","","","PhenX","PX751502020200","","","","","None","1 Time","2 Times","3-5 Times","6-9 Times","10 or More","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX751502_Youth_Cigarette_Purchase_Behaviors_And_Experiences_Convenience_Store","During the last 30 days, about how many times (if any) did YOU buy cigarettes for your own use ... at a convenience store (like a Hop-In or 7-11) or a gas station?","DCW_751502.doc","enumerated","","","","","","","PhenX","PX751502020300","","","","","None","1 Time","2 Times","3-5 Times","6-9 Times","10 or More","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
