"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX311601_Understand_Inherit_Health_Risk_Affect_Cancer_Treatment_Choice","Knowing about inherited risk (passed down within a family) can affect choices about cancer treatments (for example, medications or surgery).","DCW_311601.doc","enumerated","","","","","","","PhenX","PX311601010000","","","","","Agree","Disagree","Don't know","","","","","","","","",""
"PX311601_Understand_Inherited_Cancer_Health_Risk_Develop_More_Than_One_Cancer","People with an inherited risk for cancer (and their at-risk relatives) are more likely to develop more than one type of cancer.","DCW_311601.doc","enumerated","","","","","","","PhenX","PX311601020000","","","","","Agree","Disagree","Don't know","","","","","","","","",""
"PX311601_Inherited_Cancer_Risk_Definitely_Develop_Cancer","A person with inherited risk for cancer will definitely get cancer one day. ","DCW_311601.doc","enumerated","","","","","","","PhenX","PX311601030000","","","","","Agree","Disagree","Don't know","","","","","","","","",""
"PX311601_Lifetime_Inherited_Cancer_Risk_Depends_Altered_Cancer_Gene","The lifetime chance of getting cancer depends on which altered cancer gene is inherited.","DCW_311601.doc","enumerated","","","","","","","PhenX","PX311601040000","","","","","Agree","Disagree","Don't know","","","","","","","","",""
"PX311601_Inherited_Cancer_Risk_Cancer_Younger_Age","People with an inherited risk for cancer may get cancer at a younger age than people with average risk.","DCW_311601.doc","enumerated","","","","","","","PhenX","PX311601050000","","","","","Agree","Disagree","Don't know","","","","","","","","",""
"PX311601_Understand_Health_Risk_Future_Information_Could_Change_Meaning_Results","In the future, more information could become available that could alter the meaning of genetic test results.","DCW_311601.doc","enumerated","","","","","","","PhenX","PX311601060000","","","","","Agree","Disagree","Don't know","","","","","","","","",""
"PX311601_Understand_Female_Cancer_Risk_Inherit_Mother_Father","Female-specific cancer risk, such as ovarian cancer, can generally be passed on from either the father or mother.","DCW_311601.doc","enumerated","","","","","","","PhenX","PX311601070000","","","","","Agree","Disagree","Don't know","","","","","","","","",""
"PX311601_Understand_Inherited_Cancer_Risk_Blood_Relatives_Share","The blood relatives (for example, sister, father, or child) of a person with a mutation in a cancer risk gene might share the same gene mutation.","DCW_311601.doc","enumerated","","","","","","","PhenX","PX311601080000","","","","","Agree","Disagree","Don't know","","","","","","","","",""
"PX311601_Understand_Inherited_Cancer_Risk_Distant_Relatives_Share","A person with an inherited risk for cancer may have distant relatives (for example, cousins) who also have increased cancer risk.","DCW_311601.doc","enumerated","","","","","","","PhenX","PX311601090000","","","","","Agree","Disagree","Don't know","","","","","","","","",""
"PX311601_Understand_Inherited_Cancer_Risk_Children_Share","All children of a person with inherited cancer risk will also have inherited cancer risk.","DCW_311601.doc","enumerated","","","","","","","PhenX","PX311601100000","","","","","Agree","Disagree","Don't know","","","","","","","","",""
"PX311601_Understand_Inherited_Cancer_Risk_Sibling_Share","In most cases, the sisters and brothers of a person with inherited risk have a 50-50 (50%) chance of having inherited risk for cancer too.","DCW_311601.doc","enumerated","","","","","","","PhenX","PX311601110000","","","","","Agree","Disagree","Don't know","","","","","","","","",""
"PX311601_Understand_Health_Gene_Mutation_Increase_Cancer_Discovered","All of the gene mutations that could increase risk for cancer have been discovered.","DCW_311601.doc","enumerated","","","","","","","PhenX","PX311601120000","","","","","Agree","Disagree","Don't know","","","","","","","","",""
"PX311601_Understand_Negative_Result_Interpretation_Depend_Relative_Has_Positive_Result","If a person does not have a mutation found on genetic testing (negative result), interpreting results will depend on whether someone in the family has a known gene mutation associated with cancer risk (positive result).","DCW_311601.doc","enumerated","","","","","","","PhenX","PX311601130000","","","","","Agree","Disagree","Don't know","","","","","","","","",""
"PX311601_Inherited_Cancer_Increase_Risk_Amount_Depend_Mutation_Type","Some gene mutations mean a larger increase in the risk for cancer while others mean a smaller increase in the risk for cancer.","DCW_311601.doc","enumerated","","","","","","","PhenX","PX311601140000","","","","","Agree","Disagree","Don't know","","","","","","","","",""
"PX311601_Understand_Variant_Uncertain_Significance_Influence_Health_Test_Recommendation","A Variant of Uncertain Significance (VUS) will not likely influence recommendations for screening or prevention.","DCW_311601.doc","enumerated","","","","","","","PhenX","PX311601150000","","","","","Agree","Disagree","Don't know","","","","","","","","",""
"PX311601_Understand_MultiGene_Test_Mutation_Association_Family_Cancer_Pattern","Multi-gene panel testing could find a mutation in a gene that is not clearly associated with the pattern of cancer in the family.","DCW_311601.doc","enumerated","","","","","","","PhenX","PX311601160000","","","","","Agree","Disagree","Don't know","","","","","","","","",""
