VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,
PX280701_Affordability_Problems_Access_Dental_Care_Delay_Worry,"Now please think only about dental care. In the last 12 months [that is, between {MONTH YEAR-1} and today],{have you/has {PERSON}} delayed seeking dental care (including check-ups)/has dental care (including check-ups) been delayed for anyone in the household} because of worry about the cost?",DCW_280701.doc,enumerated,,,,,,,PhenX,PX280701010000,,,,,Yes,No,Refused,Don't know
PX280701_Affordability_Problems_Access_Dental_Care_Delay_Worry_Who_1,Who was that? PROBE: Did anyone else delay seeking dental care (including check-ups) because of worry about the cost? ENTER ALL THAT APPLY. Full Name 1,DCW_280701.doc,string,,,,,"ASK IF ""Now please think only about dental care. In the last 12 months [that is, between {MONTH YEAR-1} and today],{have you/has {PERSON}} delayed seeking dental care (including check-ups)/has dental care (including check-ups) been delayed for anyone in the household} because of worry about the cost?"" = ""Yes""",,PhenX,PX280701020100,,,,,,,,
PX280701_Affordability_Problems_Access_Dental_Care_Delay_Worry_Who_2,Who was that? PROBE: Did anyone else delay seeking dental care (including check-ups) because of worry about the cost? ENTER ALL THAT APPLY. Full Name 2,DCW_280701.doc,string,,,,,"ASK IF ""Now please think only about dental care. In the last 12 months [that is, between {MONTH YEAR-1} and today],{have you/has {PERSON}} delayed seeking dental care (including check-ups)/has dental care (including check-ups) been delayed for anyone in the household} because of worry about the cost?"" = ""Yes""",,PhenX,PX280701020200,,,,,,,,
PX280701_Affordability_Problems_Access_Dental_Care_Delay_Worry_Who_3,Who was that? PROBE: Did anyone else delay seeking dental care (including check-ups) because of worry about the cost? ENTER ALL THAT APPLY. Full Name 3,DCW_280701.doc,string,,,,,"ASK IF ""Now please think only about dental care. In the last 12 months [that is, between {MONTH YEAR-1} and today],{have you/has {PERSON}} delayed seeking dental care (including check-ups)/has dental care (including check-ups) been delayed for anyone in the household} because of worry about the cost?"" = ""Yes""",,PhenX,PX280701020300,,,,,,,,
PX280701_Affordability_Problems_Access_Dental_Care_Delay_Worry_Who_4,Who was that? PROBE: Did anyone else delay seeking dental care (including check-ups) because of worry about the cost? ENTER ALL THAT APPLY. Full Name 4,DCW_280701.doc,string,,,,,"ASK IF ""Now please think only about dental care. In the last 12 months [that is, between {MONTH YEAR-1} and today],{have you/has {PERSON}} delayed seeking dental care (including check-ups)/has dental care (including check-ups) been delayed for anyone in the household} because of worry about the cost?"" = ""Yes""",,PhenX,PX280701020400,,,,,,,,
PX280701_Affordability_Problems_Access_Dental_Care_Delay_Worry_Who_5,Who was that? PROBE: Did anyone else delay seeking dental care (including check-ups) because of worry about the cost? ENTER ALL THAT APPLY. Full Name 5,DCW_280701.doc,string,,,,,"ASK IF ""Now please think only about dental care. In the last 12 months [that is, between {MONTH YEAR-1} and today],{have you/has {PERSON}} delayed seeking dental care (including check-ups)/has dental care (including check-ups) been delayed for anyone in the household} because of worry about the cost?"" = ""Yes""",,PhenX,PX280701020500,,,,,,,,
PX280701_Affordability_Problems_Access_Dental_Care_Not_Afford,"In the last 12 months, was there any time when {{you/{PERSON}}/anyone in the household} needed dental care, but did not get it because {{you/he/she}/they} couldn't afford it?",DCW_280701.doc,enumerated,,,,,"ASK IF ""Now please think only about dental care. In the last 12 months [that is, between {MONTH YEAR-1} and today],{have you/has {PERSON}} delayed seeking dental care (including check-ups)/has dental care (including check-ups) been delayed for anyone in the household} because of worry about the cost?"" = ""No"" OR ""Now please think only about dental care. In the last 12 months [that is, between {MONTH YEAR-1} and today],{have you/has {PERSON}} delayed seeking dental care (including check-ups)/has dental care (including check-ups) been delayed for anyone in the household} because of worry about the cost?"" = ""Refused"" OR ""Now please think only about dental care. In the last 12 months [that is, between {MONTH YEAR-1} and today],{have you/has {PERSON}} delayed seeking dental care (including check-ups)/has dental care (including check-ups) been delayed for anyone in the household} because of worry about the cost?"" = ""Don't know""",,PhenX,PX280701030000,,,,,Yes,No,Refused,Don't know
PX280701_Affordability_Problems_Access_Dental_Care_Not_Afford_Who_1,Who was that? PROBE: Did anyone else need dental care but did not get it because they couldn't afford it? ENTER ALL THAT APPLY. Full Name 1,DCW_280701.doc,string,,,,,"ASK IF ""In the last 12 months, was there any time when {{you/{PERSON}}/anyone in the household} needed dental care, but did not get it because {{you/he/she}/they} couldn't afford it?"" = ""Yes""",,PhenX,PX280701040100,,,,,,,,
PX280701_Affordability_Problems_Access_Dental_Care_Not_Afford_Who_2,Who was that? PROBE: Did anyone else need dental care but did not get it because they couldn't afford it? ENTER ALL THAT APPLY. Full Name 2,DCW_280701.doc,string,,,,,"ASK IF ""In the last 12 months, was there any time when {{you/{PERSON}}/anyone in the household} needed dental care, but did not get it because {{you/he/she}/they} couldn't afford it?"" = ""Yes""",,PhenX,PX280701040200,,,,,,,,
PX280701_Affordability_Problems_Access_Dental_Care_Not_Afford_Who_3,Who was that? PROBE: Did anyone else need dental care but did not get it because they couldn't afford it? ENTER ALL THAT APPLY. Full Name 3,DCW_280701.doc,string,,,,,"ASK IF ""In the last 12 months, was there any time when {{you/{PERSON}}/anyone in the household} needed dental care, but did not get it because {{you/he/she}/they} couldn't afford it?"" = ""Yes""",,PhenX,PX280701040300,,,,,,,,
PX280701_Affordability_Problems_Access_Dental_Care_Not_Afford_Who_4,Who was that? PROBE: Did anyone else need dental care but did not get it because they couldn't afford it? ENTER ALL THAT APPLY. Full Name 4,DCW_280701.doc,string,,,,,"ASK IF ""In the last 12 months, was there any time when {{you/{PERSON}}/anyone in the household} needed dental care, but did not get it because {{you/he/she}/they} couldn't afford it?"" = ""Yes""",,PhenX,PX280701040400,,,,,,,,
PX280701_Affordability_Problems_Access_Dental_Care_Not_Afford_Who_5,Who was that? PROBE: Did anyone else need dental care but did not get it because they couldn't afford it? ENTER ALL THAT APPLY. Full Name 5,DCW_280701.doc,string,,,,,"ASK IF ""In the last 12 months, was there any time when {{you/{PERSON}}/anyone in the household} needed dental care, but did not get it because {{you/he/she}/they} couldn't afford it?"" = ""Yes""",,PhenX,PX280701040500,,,,,,,,
