"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX890301_Prophylactic_Transfusion_During_Pregnancy_Schedule","Transfusion Schedule","DCW_890301.doc","enumerated","","","","","","","PhenX","PX890301010000","","","","","Obstetrically Indicated","Hematologically Indicated","Obstetrically/Hematologically Indicated","Prophylactic","None"
"PX890301_Prophylactic_Transfusion_During_Pregnancy_Type","Transfusion Type","DCW_890301.doc","enumerated","","","","","","","PhenX","PX890301020000","","","","","Simple","Partial-Exchange","Exchange","",""
"PX890301_Prophylactic_Transfusion_During_Pregnancy_Freq","Transfusion Frequency","DCW_890301.doc","enumerated","","","","","","","PhenX","PX890301030000","","","","","Per Indication","Weekly","Monthly","Other",""
"PX890301_Prophylactic_Transfusion_During_Pregnancy_Freq_Other","Transfusion Frequency Other _________","DCW_890301.doc","string","","","","","ASK IF \"Transfusion Frequency\" = \"Other\"","","PhenX","PX890301030100","","","","","","","","",""
"PX890301_Prophylactic_Transfusion_During_Pregnancy_Timing_First","Timing of First Transfusion ____ weeks Gestational Age","DCW_890301.doc","integer","","","","","","","PhenX","PX890301040000","","","","","","","","",""
"PX890301_Prophylactic_Transfusion_During_Pregnancy_Hb","Hb Target ___ g/L","DCW_890301.doc","decimal","g/L","0","100","","","","PhenX","PX890301050000","","","","","","","","",""
"PX890301_Prophylactic_Transfusion_During_Pregnancy_Hbs","HbS Target ___ %","DCW_890301.doc","decimal","%","0","100","","","","PhenX","PX890301060000","","","","","","","","",""
"PX890301_Prophylactic_Transfusion_During_Pregnancy_Pre_Hbs","Pre-Transfusion HbS _____%","DCW_890301.doc","decimal","%","0","100","","","","PhenX","PX890301070000","","","","","","","","",""
"PX890301_Prophylactic_Transfusion_During_Pregnancy__Post_Hbs","Post-Transfusion HbS _____%","DCW_890301.doc","decimal","%","0","100","","","","PhenX","PX890301080000","","","","","","","","",""
"PX890301_Prophylactic_Transfusion_During_Pregnancy_Pre_Hb","Pre-Transfusion Hb _____ g/L","DCW_890301.doc","decimal","g/L","0","100","","","","PhenX","PX890301090000","","","","","","","","",""
"PX890301_Prophylactic_Transfusion_During_Pregnancy_Post_Hb","Post-Transfusion Hb _____ g/L","DCW_890301.doc","decimal","g/L","0","100","","","","PhenX","PX890301100000","","","","","","","","",""
"PX890301_Prophylactic_Transfusion_During_Pregnancy_Number","Number of Transfusions _____","DCW_890301.doc","integer","","0","999995","","","","PhenX","PX890301110000","","","","","","","","",""
"PX890301_Prophylactic_Transfusion_During_Pregnancy_Units","Number of Units Transfused _____","DCW_890301.doc","integer","","0","999995","","","","PhenX","PX890301120000","","","","","","","","",""
"PX890301_Prophylactic_Transfusion_During_Pregnancy_Adverse_Event","Adverse Events/Transfusion Reactions","DCW_890301.doc","enumerated","","","","","","","PhenX","PX890301130000","","","","","No","Yes, Number of Reactions","Alloimmunization","Delayed Hemolytic Transfusion Reaction",""
"PX890301_Prophylactic_Transfusion_During_Pregnancy_Adverse_Event_Yes","Adverse Events/Transfusion Reactions Yes, Number of Reactions _____
","DCW_890301.doc","integer","","","","","ASK IF \"Adverse Events/Transfusion Reactions\" != \"No\"","","PhenX","PX890301130100","","","","","","","","",""
"PX890301_Prophylactic_Transfusion_During_Pregnancy_Adverse_Event_AI","Adverse Events/Transfusion Reactions Alloimmunization ______________________________________________________
","DCW_890301.doc","string","","","","","ASK IF \"Adverse Events/Transfusion Reactions\" != \"No\"","","PhenX","PX890301130200","","","","","","","","",""
"PX890301_Prophylactic_Transfusion_During_Pregnancy_Adverse_Event_DHTR","Adverse Events/Transfusion Reactions Delayed Hemolytic Transfusion Reaction ___________________________________","DCW_890301.doc","string","","","","","ASK IF \"Adverse Events/Transfusion Reactions\" != \"No\"","","PhenX","PX890301130300","","","","","","","","",""
