"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX181105_Temperament_Adult_Frightened","I become easily frightened.","DCW_181105.doc","encoded values","","","","","","","PhenX","PX181105010000","","","","","1 = extremely untrue","2 = quite untrue","3 = slightly untrue","4 = neither true nor false","5 = slightly true","6 = quite true","7 = extremely true","X = not applicable","","","","","","","","","","","",""
"PX181105_Temperament_Adult_Tardiness","I am often late for appointments.","DCW_181105.doc","encoded values","","","","","","","PhenX","PX181105020000","","","","","1 = extremely untrue","2 = quite untrue","3 = slightly untrue","4 = neither true nor false","5 = slightly true","6 = quite true","7 = extremely true","X = not applicable","","","","","","","","","","","",""
"PX181105_Temperament_Adult_Happiness","Sometimes minor events cause me to feel intense happiness.","DCW_181105.doc","encoded values","","","","","","","PhenX","PX181105030000","","","","","1 = extremely untrue","2 = quite untrue","3 = slightly untrue","4 = neither true nor false","5 = slightly true","6 = quite true","7 = extremely true","X = not applicable","","","","","","","","","","","",""
"PX181105_Temperament_Adult_Noise_Irritation","I find loud noises to be very irritating.","DCW_181105.doc","encoded values","","","","","","","PhenX","PX181105040000","","","","","1 = extremely untrue","2 = quite untrue","3 = slightly untrue","4 = neither true nor false","5 = slightly true","6 = quite true","7 = extremely true","X = not applicable","","","","","","","","","","","",""
"PX181105_Temperament_Adult_Multi_Tasking","It's often hard for me to alternate between two different tasks.","DCW_181105.doc","encoded values","","","","","","","PhenX","PX181105050000","","","","","1 = extremely untrue","2 = quite untrue","3 = slightly untrue","4 = neither true nor false","5 = slightly true","6 = quite true","7 = extremely true","X = not applicable","","","","","","","","","","","",""
"PX181105_Temperament_Adult_Annoyed_Slow_Line","I rarely become annoyed when I have to wait in a slow moving line.","DCW_181105.doc","encoded values","","","","","","","PhenX","PX181105060000","","","","","1 = extremely untrue","2 = quite untrue","3 = slightly untrue","4 = neither true nor false","5 = slightly true","6 = quite true","7 = extremely true","X = not applicable","","","","","","","","","","","",""
"PX181105_Temperament_Adult_Enjoy_Loud_Music","I would not enjoy the sensation of listening to loud music with a laser light show.","DCW_181105.doc","encoded values","","","","","","","PhenX","PX181105070000","","","","","1 = extremely untrue","2 = quite untrue","3 = slightly untrue","4 = neither true nor false","5 = slightly true","6 = quite true","7 = extremely true","X = not applicable","","","","","","","","","","","",""
"PX181105_Temperament_Adult_Commitment","I often make plans that I do not follow through with.","DCW_181105.doc","encoded values","","","","","","","PhenX","PX181105080000","","","","","1 = extremely untrue","2 = quite untrue","3 = slightly untrue","4 = neither true nor false","5 = slightly true","6 = quite true","7 = extremely true","X = not applicable","","","","","","","","","","","",""
"PX181105_Temperament_Adult_Goodbye","I rarely feel sad after saying goodbye to friends or relatives.","DCW_181105.doc","encoded values","","","","","","","PhenX","PX181105090000","","","","","1 = extremely untrue","2 = quite untrue","3 = slightly untrue","4 = neither true nor false","5 = slightly true","6 = quite true","7 = extremely true","X = not applicable","","","","","","","","","","","",""
"PX181105_Temperament_Adult_Attention_Detail","Barely noticeable visual details rarely catch my attention.","DCW_181105.doc","encoded values","","","","","","","PhenX","PX181105100000","","","","","1 = extremely untrue","2 = quite untrue","3 = slightly untrue","4 = neither true nor false","5 = slightly true","6 = quite true","7 = extremely true","X = not applicable","","","","","","","","","","","",""
"PX181105_Temperament_Adult_Energized","Even when I feel energized, I can usually sit still without much trouble if it's necessary.","DCW_181105.doc","encoded values","","","","","","","PhenX","PX181105110000","","","","","1 = extremely untrue","2 = quite untrue","3 = slightly untrue","4 = neither true nor false","5 = slightly true","6 = quite true","7 = extremely true","X = not applicable","","","","","","","","","","","",""
"PX181105_Temperament_Adult_Fear_Heights","Looking down at the ground from an extremely high place would make me feel uneasy.","DCW_181105.doc","encoded values","","","","","","","PhenX","PX181105120000","","","","","1 = extremely untrue","2 = quite untrue","3 = slightly untrue","4 = neither true nor false","5 = slightly true","6 = quite true","7 = extremely true","X = not applicable","","","","","","","","","","","",""
"PX181105_Temperament_Adult_Music","When I am listening to music, I am usually aware of subtle emotional tones.","DCW_181105.doc","encoded values","","","","","","","PhenX","PX181105130000","","","","","1 = extremely untrue","2 = quite untrue","3 = slightly untrue","4 = neither true nor false","5 = slightly true","6 = quite true","7 = extremely true","X = not applicable","","","","","","","","","","","",""
"PX181105_Temperament_Adult_Social_Interaction","I would not enjoy a job that involves socializing with the public.","DCW_181105.doc","encoded values","","","","","","","PhenX","PX181105140000","","","","","1 = extremely untrue","2 = quite untrue","3 = slightly untrue","4 = neither true nor false","5 = slightly true","6 = quite true","7 = extremely true","X = not applicable","","","","","","","","","","","",""
"PX181105_Temperament_Adult_Task_Motivation","I can keep performing a task even when I would rather not do it.","DCW_181105.doc","encoded values","","","","","","","PhenX","PX181105150000","","","","","1 = extremely untrue","2 = quite untrue","3 = slightly untrue","4 = neither true nor false","5 = slightly true","6 = quite true","7 = extremely true","X = not applicable","","","","","","","","","","","",""
"PX181105_Temperament_Adult_Enjoy_Activities","I sometimes seem to be unable to feel pleasure from events and activities that I should enjoy.","DCW_181105.doc","encoded values","","","","","","","PhenX","PX181105160000","","","","","1 = extremely untrue","2 = quite untrue","3 = slightly untrue","4 = neither true nor false","5 = slightly true","6 = quite true","7 = extremely true","X = not applicable","","","","","","","","","","","",""
"PX181105_Temperament_Adult_Store_Stock","I find it very annoying when a store does not stock an item that I wish to buy.","DCW_181105.doc","encoded values","","","","","","","PhenX","PX181105170000","","","","","1 = extremely untrue","2 = quite untrue","3 = slightly untrue","4 = neither true nor false","5 = slightly true","6 = quite true","7 = extremely true","X = not applicable","","","","","","","","","","","",""
"PX181105_Temperament_Adult_Paintings_Pictures_Emotion","I tend to notice emotional aspects of paintings and pictures.","DCW_181105.doc","encoded values","","","","","","","PhenX","PX181105180000","","","","","1 = extremely untrue","2 = quite untrue","3 = slightly untrue","4 = neither true nor false","5 = slightly true","6 = quite true","7 = extremely true","X = not applicable","","","","","","","","","","","",""
"PX181105_Temperament_Adult_Talkative","I usually like to talk a lot.","DCW_181105.doc","encoded values","","","","","","","PhenX","PX181105190000","","","","","1 = extremely untrue","2 = quite untrue","3 = slightly untrue","4 = neither true nor false","5 = slightly true","6 = quite true","7 = extremely true","X = not applicable","","","","","","","","","","","",""
