"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX280201_Health_Numeracy_Blood_Sugar_Reading_Goal","James has diabetes. His goal is to have his blood sugar between 80 and 150 in the morning. Which of the following blood sugar readings is within his goal?","DCW_280201.doc","enumerated","","","","","","","PhenX","PX280201010000","","","","","55","140","165","180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280201_Health_Numeracy_Pain_Scale_Pain_Rating","Nathan has a pain rating of 5 on a pain scale of 1 (no pain) to 10 (worst possible pain). One day later Nathan still has pain but it is better. Now, what pain rating might Nathan give?","DCW_280201.doc","enumerated","","","","","","","PhenX","PX280201020000","","","","","3","5","7","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280201_Health_Numeracy_Side_Effect_Likelihood","Natasha started a new medicine and was given a handout showing the chance that side effects will occur as in the table below. Which side effect is Natasha least likely to get?","DCW_280201.doc","enumerated","","","","","","","PhenX","PX280201030000","","","","","Dizziness (1 in 5 people)","Nausea (1 in 10 people)","Stomach pain (1 in 100 people)","Allergic reaction (1 in 200 people)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280201_Health_Numeracy_Highest_Heart_Attack_Chance","Frank has a test to look for blockages in the arteries of his heart. The doctor said that a person with a higher percent (%) blockage has a high chance of having a heart attack. Which percent (%) blockage has the highest chance of a heart attack?","DCW_280201.doc","enumerated","","","","","","","PhenX","PX280201040000","","","","","33%","50%","75%","98%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280201_Health_Numeracy_Highest_Pills_Per_Day","The doctor told Maria not to take more than 3 grams (g) of Tylenol a day. Each Tylenol pill is 500 milligrams (mg). What is the highest number of pills that Maria can take in one day?","DCW_280201.doc","enumerated","","","","","","","PhenX","PX280201050000","","","","","3 pills","6 pills","8 pills","12 pills","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280201_Health_Numeracy_Receive_Medicine_Likelihood","A medical study will randomly assign people so that people are equally likely to get medicine A or medicine B. If there are 300 people in the study, about how many are expected to get medicine A?","DCW_280201.doc","enumerated","","","","","","","PhenX","PX280201060000","","","","","100 people","150 people","200 people","250 people","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280201_Health_Numeracy_Chance_Heart_Attack_Twenty_Years","David is 50 years old and smokes cigarettes. His doctor tells him that the chance of having a heart attack increases as people age and if they smoke. His current chance of a heart attack is 10% over the next 10 years. Which of the following is the best guess of David’s chance of a heart attack in the next 20 years?","DCW_280201.doc","enumerated","","","","","","","PhenX","PX280201070000","","","","","5%","10%","30%","100%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280201_Health_Numeracy_Blood_Pressure_Meddicine_Chance_Side_Effect","James starts a new blood pressure medicine. The chance of a serious side effect is 0.5%. If 1000 people take this medicine, about how many would be expected to have a serious side effect?","DCW_280201.doc","enumerated","","","","","","","PhenX","PX280201080000","","","","","1 person","5 people","50 people","500 people","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280201_Health_Numeracy_Test_Blood_Chance_Prostate_Cancer","The PSA (prostate specific antigen) is a blood test that looks for prostate cancer. The test has false alarms so about 30% of men who have an abnormal test turn out not to have prostate cancer. John had an abnormal test. What is the chance that John has prostate cancer?","DCW_280201.doc","enumerated","","","","","","","PhenX","PX280201090000","","","","","0%","30%","70%","100%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PX280201_Health_Numeracy_Breast_Cancer_Chance_Recurrence","Rebecca was treated for stage 2 breast cancer. The chance that the breast cancer will come back is 10% over the next 10 years. If Rebecca takes a new medicine, this chance will decrease by about 30%. Out of 100 women like Rebecca who take the medicine, how many will have breast cancer come back within 10 years?","DCW_280201.doc","enumerated","","","","","","","PhenX","PX280201100000","","","","","3 out of 100 women","7 out of 100 women","10 out of 100 women","30 out of 100 women","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
