"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX870901_Transition_Readiness_Understand_Behaviors_Cause_Pain_Episode","I understand behaviors that can cause a pain episode.","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901010000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Understand_Behaviors_Cause_Pain_Episode_Comments","I understand behaviors that can cause a pain episode. Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901010100","","","","","","","","",","
"PX870901_Transition_Readiness_Answer_Doctors_Questions_During_Clinical_Visits","I can answer my doctor's questions during my clinic visits.","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901020000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Answer_Doctors_Questions_During_Clinical_Visits_Comments","I can answer my doctor's questions during my clinic visits. Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901020100","","","","","","","","",","
"PX870901_Transition_Readiness_Keep_Track_Medical_Appointments","I keep track of my medical appointments.","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901030000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Keep_Track_Medical_Appointments_Comments","I keep track of my medical appointments. Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901030100","","","","","","","","",","
"PX870901_Transition_Readiness_Know_How_Take_Medicines_Without_Help","I know how to take my medicines (time, dosage, and frequency) without help.","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901040000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Know_How_Take_Medicines_Without_Help_Comments","I know how to take my medicines (time, dosage, and frequency) without help. Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901040100","","","","","","","","",","
"PX870901_Transition_Readiness_Aware_Hydroxyurea_How_Affects_Sickle_Cell_Disease","I am aware of what hydroxyurea is and how it affects sickle cell disease. (If you are not taking this medicine please check: Not Applicable)","DCW_870901.doc","enumerated","","","","","","","PhenX","PX870901050000","","","","","Strongly Agree","Somewhat Agree","Neither Agree nor Disagree","Somewhat Disagree","Strongly Disagree,Not Applicable"
"PX870901_Transition_Readiness_Aware_Hydroxyurea_How_Affects_Sickle_Cell_Disease_Comments","I am aware of what hydroxyurea is and how it affects sickle cell disease. (If you are not taking this medicine please check: Not Applicable) Comments:","DCW_870901.doc","string","","","","","","","PhenX","PX870901050100","","","","","","","","",","
