"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Specify_Donor","Specify donor","DCW_850501.doc","enumerated","","","","","","","PhenX","PX850501010000","","","","","Autologous","Allogenic, related","Allogenic, unrelated","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Specify_Product_Type","Specify product type (check all that apply)","DCW_850501.doc","enumerated","","","","","","","PhenX","PX850501020100","","","","","Bone marrow","PBSC","Single cord blood unit","Other product","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Specify_Product_Type_Other","Specify product type (check all that apply): Other product - Specify other product:","DCW_850501.doc","string","","","","","ASK IF \"Specify product type (check all that apply)\" = \"Other product\"","","PhenX","PX850501020200","","","","","","","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Genetically_Modified","Is the product genetically modified?","DCW_850501.doc","enumerated","","","","","","","PhenX","PX850501030000","","","","","Yes","No","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Genetically_Modified_Allogenic","Is the product genetically modified? Allogenic: Specify related donor type","DCW_850501.doc","enumerated","","","","","ASK IF \"Specify donor\" = \"Allogenic, related\"","","PhenX","PX850501040000","","","","","Syngeneic (monozygotic twin)","HLA-identical sibling (may include non-monozygotic twin)","HLA-matched other relative (does NOT include a haplo-identical donor)","HLA-mismatched relative","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Specify_Donor_Relationship_Recipient","Specify donor relationship to the recipient","DCW_850501.doc","enumerated","","","","","ASK IF \"Specify donor\" = \"Allogenic, related\"","","PhenX","PX850501050100","","","","","Mother","Father","Child","Sibling","Fraternal twin","Maternal aunt","Maternal uncle","Maternal cousin","Paternal aunt","Paternal uncle","Paternal cousin","Grandparent","Grandchild","Other biological relative"
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Specify_Donor_Relationship_Recipient_Other_Biological_Relative","Specify donor relationship to the recipient: Other biological relative - Specity other biological relative:","DCW_850501.doc","string","","","","","ASK IF \"Specify other biological relative\" = \"Other biological relative\"","","PhenX","PX850501050200","","","","","","","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Degree_Mismatch_Related_Donors_Only","Degree of mismatch for related donors","DCW_850501.doc","enumerated","","","","","ASK IF \"Specify donor\" = \"Allogenic, related\"","","PhenX","PX850501060000","","","","","HLA-mismatched 1 allele","HLA-mismatched ? 2 alleles (does not include haplo-identical donor)","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Specify_Unrelated_Donor_Type","Specify unrelated donor type","DCW_850501.doc","enumerated","","","","","ASK IF \"Specify donor\" = \"Allogenic, related\" or \"Specify donor\" = \"Allogenic, unrelated\"","","PhenX","PX850501070000","","","","","HLA matched unrelated","HLA mismatched unrelated","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Drug_Product_Starting_Material","Drug product starting material","DCW_850501.doc","enumerated","","","","","","","PhenX","PX850501080000","","","","","Hematopoietic Progenitor Cell, Apheresis (HPC-A)","Hematopoietic Progenitor Cell, Marrow (HPC-M)","Hematopoietic Progenitor Cell, Cord Blood (HPC-C)","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Date_Drug_Product_Manufacture","Date of drug product manufacture","DCW_850501.doc","date","","","","","","","PhenX","PX850501090000","","","","","","","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Proportion_CD34_Cells","Proportion of CD34+ Cells","DCW_850501.doc","decimal","","","","","","","PhenX","PX850501100000","","","","","","","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Total_Colonies_Formed","Total Colonies Formed","DCW_850501.doc","decimal","","","","","","","PhenX","PX850501110100","","","","","","","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Total_Colonies_Formed_Rate","Total Colonies Formed (rate)","DCW_850501.doc","integer","per cell","","","","ASK IF \"Total Colonies Formed\" != ''","","PhenX","PX850501110200","","","","","","","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Expression_Globin_Chain_Interest_Qualitative_Assay","Expression of globin chain of interest: Qualitative Assay","DCW_850501.doc","enumerated","","","","","","","PhenX","PX850501120000","","","","","Positive","Negative","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Expression_Globin_Chain_Interest_Quantitative_Assay","Expression of globin chain of interest: Quantitative Assay","DCW_850501.doc","string","","","","","","","PhenX","PX850501130000","","","","","","","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Any_Additional_Drug_Product_Potency_Assays_Performed","Were any additional drug product potency assays performed on drug product","DCW_850501.doc","enumerated","","","","","","","PhenX","PX850501140100","","","","","Yes","No","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Any_Additional_Drug_Product_Potency_Assays_Performed_If_Yes_Describe_Report_Result","Were any additional drug product potency assays performed on drug product: If yes, describe and report result","DCW_850501.doc","string","","","","","ASK IF \"Were any additional drug product potency assays performed\" = ''Yes\"","","PhenX","PX850501140200","","","","","","","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Type_Modification","Type of modification","DCW_850501.doc","enumerated","","","","","","","PhenX","PX850501150000","","","","","Integrating Vector","Gene Editing Nuclease","Stem Cell Expansion","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Type_Integrating_Vector","Type of integrating factor","DCW_850501.doc","enumerated","","","","","","","PhenX","PX850501160100","","","","","Retrovirus","Lentivirus","Other","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Type_Integrating_Vector_Other","Type of integrating factor: Other","DCW_850501.doc","string","","","","","ASK IF \"Type of integrating factor\" = \"Other\"","","PhenX","PX850501160200","","","","","","","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Drug_Product_VCN","Drug product VCN","DCW_850501.doc","decimal","","","","","","","PhenX","PX850501170000","","","","","","","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Percentage_Cells_Positive_Integrating_Factor","Percentage of cells positive for integrating factor","DCW_850501.doc","decimal","","","","","","","PhenX","PX850501180000","","","","","","","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Drug_Product_VCN_Cell","Drug product VCN/cell","DCW_850501.doc","decimal","","","","","","","PhenX","PX850501190000","","","","","","","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Type_Editing","Type of editing","DCW_850501.doc","enumerated","","","","","","","PhenX","PX850501200100","","","","","CRISPR-Cas 9","ZFN","TALEN","Cytosine Base Editing","Other","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Type_Editing_Other","Type of editing: Other","DCW_850501.doc","string","","","","","ASK IF \"Type of Editing\" = \"Other\"","","PhenX","PX850501200200","","","","","","","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Mode_Nuclease_Delivery","Mode of nuclease delivery","DCW_850501.doc","enumerated","","","","","","","PhenX","PX850501210100","","","","","mRNA by EP","RNP by EP","AAV","Other","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Mode_Nuclease_Delivery_GRNA_Target_Gene","Mode of nuclease delivery: gRNA target gene","DCW_850501.doc","string","","","","","","","PhenX","PX850501210200","","","","","","","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Mode_Nuclease_Delivery_Mode_Delivery","Mode of nuclease delivery: Mode of delivery","DCW_850501.doc","string","","","","","","","PhenX","PX850501210300","","","","","","","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Donor_Template_Used","Donor Template Used?","DCW_850501.doc","enumerated","","","","","","","PhenX","PX850501220100","","","","","Yes","No","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Donor_Template_Used_Yes","Donor Template Used? If yes, mode of delivery","DCW_850501.doc","enumerated","","","","","ASK IF \"Donor Template Used?\" = \"Yes\"","","PhenX","PX850501220200","","","","","ssODN","AAV","Other","Drug Product","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_On_Target_Indels","On-target Indels","DCW_850501.doc","integer","","","","","","","PhenX","PX850501230100","","","","","","","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Off_Target_Indels","Off-target Indels","DCW_850501.doc","integer","","","","","","","PhenX","PX850501230200","","","","","","","","","","","","","","","","","",""
"PX850501_Sickle_Cell_Disease_Stem_Cell_Source_Manipulation_Conversion","Conversion","DCW_850501.doc","decimal","","","","","","","PhenX","PX850501230300","","","","","","","","","","","","","","","","","",""
