"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX320701_Patient_Centered_Communication_Cancer_Health_Professionals_Questions","How often do your doctors and other heal professionals... Talk with you about your concerns and questions?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701010100","","","","","Never","Rarely","Sometimes","Often","Always","","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professionals_Information","How often do your doctors and other heal professionals... Give you helpful information, even when you don't ask for it?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701010200","","","","","Never","Rarely","Sometimes","Often","Always","","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professionals_Information_Need","How often do your doctors and other heal professionals... Make sure you have the information you need?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701010300","","","","","Never","Rarely","Sometimes","Often","Always","","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professionals_Information_Understand","How often do your doctors and other heal professionals... Help you understand the information you need to know?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701010400","","","","","Never","Rarely","Sometimes","Often","Always","","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professionals_Questions_Answered","How often do your doctors and other heal professionals... Make sure your questions are answered?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701010500","","","","","Never","Rarely","Sometimes","Often","Always","","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Question_Comfort","How much do your doctors and other health professionals make you feel comfortable asking questions? ","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701020000","","","","","Not at all","Not very much","Somewhat","A lot","A great deal","","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Depend","How much can you depend on your doctors and other health professionals to give you the care you need?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701030000","","","","","Not at all","Not very much","Somewhat","A lot","A great deal","","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Often_Care","How often do your doctors and other health professionals... Show they care about you?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701040100","","","","","Never","Rarely","Sometimes","Often","Always","","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Often_Detail","How often do your doctors and other health professionals... Remember details about you between visits?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701040200","","","","","Never","Rarely","Sometimes","Often","Always","","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Often_Communication","How often do your doctors and other health professionals... Have open and honest communication with you?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701040300","","","","","Never","Rarely","Sometimes","Often","Always","","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Often_Listen","How often do your doctors and other health professionals... Listen carefully to what you have to say?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701040400","","","","","Never","Rarely","Sometimes","Often","Always","","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Informed","How much do your doctors and other health professionals seem well informed about your type of cancer?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701050000","","","","","Not at all","Not very much","Somewhat","A lot","A great deal","","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Explain","Different doctors and health professionals are often involved in a patient's care. How well do your doctors and other health professionals explain what they each do?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701060000","","","","","Poorly","Not very well","Fairly well","Very well","Outstanding","","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Care_Decision","How often do your doctors and other health professionals involve you in making decisions about your care?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701070000","","","","","Never","Rarely","Sometimes","Often","Always","Does not apply/there have not been any decisions","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Explain_Choices","How well do your doctors and other health professionals... Explain the different choices you have?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701080100","","","","","Poorly","Not Very Well","Fairly Well","Outstanding","Does Not Apply","","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Explain_Recommend","How well do your doctors and other health professionals... Explain what they recommended?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701080200","","","","","Poorly","Not Very Well","Fairly Well","Outstanding","Does Not Apply","","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Decision_Interest","How much do your doctors and other health professionals... Show interest in what you say about the decisions?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701090100","","","","","Not at All","Not Very Much","Somewhat","A Lot","A Great Deal","Does Not Apply","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Decision_Help","How much do your doctors and other health professionals... Give you information and resources to help you make decisions?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701090200","","","","","Not at All","Not Very Much","Somewhat","A Lot","A Great Deal","Does Not Apply","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Attention_Emotion","How often do your doctors and other health professionals give the attention you need to your feelings and emotions?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701100000","","","","","Never","Rarely","Sometimes","Often","Always","Does not apply/I do not want attention to my feelings and emotions","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Emotion_Attention","How much do your doctors and other health professionals... Pay attention to how you are doing emotionally?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701110100","","","","","Not at All","Not Very Much","Somewhat","A Lot","A Great Deal","Does Not Apply","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Emotion_Concern","How much do your doctors and other health professionals... Show concern for your feelings, not just your illness?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701110200","","","","","Not at All","Not Very Much","Somewhat","A Lot","A Great Deal","Does Not Apply","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Emotion_Concern_Family","How much do your doctors and other health professionals... Show concern for how your family is doing emotionally?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701110300","","","","","Not at All","Not Very Much","Somewhat","A Lot","A Great Deal","Does Not Apply","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Emotion_Comfort","How much do your doctors and other health professionals... Make you feel comfortable to talk about your fears, stress, and other feelings?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701110400","","","","","Not at All","Not Very Much","Somewhat","A Lot","A Great Deal","Does Not Apply","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Help_Cope","How well do your doctors and other health professionals talk with you about how to cope with any fears, stress, and other feelings? ","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701120000","","","","","Poorly","Not very well","Fairly well","Very well","Outstanding","Does not apply","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Help_Understand","How well do your doctors and other health professionals help you understand ways you can take care of your health?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701130000","","","","","Poorly","Not very well","Fairly well","Very well","Outstanding","","","","","",""
"PX320701_Patient_Centered_Communication_Cancer_Health_Professional_Communicate_Everyday_Life","How much do your doctors and other health professionals talk with you about... How much do your doctors and other health professionals talk with you about... How cancer is affecting your everyday life?","DCW_320701.doc","enumerated","","","","","","","PhenX","PX320701140100","","","","","Not at All","Not Very Much","Somewhat","A Lot","A Great Deal","Does Not Apply","","","","",""
