VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Lightheadedness,Have you had any of the following health symptoms during the past 6 months? Do you have lightheadedness?,DCW_130202.doc,encoded values,,,,,,,PhenX,PX130202010100,,,,,1 = Yes,0 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Lightheadedness_Symptoms_Discomfort,"If you answered yes in Q1a, how much would you say the symptom bothers you?",DCW_130202.doc,encoded values,,,,,ASK IF Q1.1 = Yes,,PhenX,PX130202010200,,,,,1 = Not at all,2 = A little,3 = Some,4 = A moderate amount,5 = A lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Dry_Mouth_Dry_Eyes,Have you had any of the following health symptoms during the past 6 months? Do you have a dry mouth or dry eyes?,DCW_130202.doc,encoded values,,,,,,,PhenX,PX130202020100,,,,,1 = Yes,0 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Dry_Mouth_Dry_Eyes_Symptoms_Discomfort,"If you answered yes in Q2a, how much would you say the symptom bothers you?",DCW_130202.doc,encoded values,,,,,ASK IF Q2.1 = Yes,,PhenX,PX130202020200,,,,,1 = Not at all,2 = A little,3 = Some,4 = A moderate amount,5 = A lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Feet_Pale_Blue,Have you had any of the following health symptoms during the past 6 months? Are your feet pale or blue?,DCW_130202.doc,encoded values,,,,,,,PhenX,PX130202030100,,,,,1 = Yes,0 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Feet_Pale_Blue_Symptoms_Discomfort,"If you answered yes in Q3a, how much would you say the symptom bothers you?",DCW_130202.doc,encoded values,,,,,ASK IF Q3.1 = Yes,,PhenX,PX130202030200,,,,,1 = Not at all,2 = A little,3 = Some,4 = A moderate amount,5 = A lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Feet_Colder,Have you had any of the following health symptoms during the past 6 months? Are your feet colder than the rest of your body?,DCW_130202.doc,encoded values,,,,,,,PhenX,PX130202040100,,,,,1 = Yes,0 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Feet_Colder_Symptoms_Discomfort,"If you answered yes in Q4a, how much would you say the symptom bothers you?",DCW_130202.doc,encoded values,,,,,ASK IF Q4.1 = Yes,,PhenX,PX130202040200,,,,,1 = Not at all,2 = A little,3 = Some,4 = A moderate amount,5 = A lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Sweating_Feet_Decreased,Have you had any of the following health symptoms during the past 6 months? Is sweating in your feet decreased compared to the rest of your body?,DCW_130202.doc,encoded values,,,,,,,PhenX,PX130202050100,,,,,1 = Yes,0 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Sweating_Feet_Decreased_Symptoms_Discomfort,"If you answered yes in Q5a, how much would you say the symptom bothers you?",DCW_130202.doc,encoded values,,,,,ASK IF Q5.1 = Yes,,PhenX,PX130202050200,,,,,1 = Not at all,2 = A little,3 = Some,4 = A moderate amount,5 = A lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Sweating_Feet_Decreased_Absent ,"Have you had any of the following health symptoms during the past 6 months? Is sweating in your feet decreased or absent (for example, after exercise or during hot weather)?",DCW_130202.doc,encoded values,,,,,,,PhenX,PX130202060100,,,,,1 = Yes,0 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Sweating_Feet_Decreased_Absent_Symptoms_Discomfort,"If you answered yes in Q6a, how much would you say the symptom bothers you?",DCW_130202.doc,encoded values,,,,,ASK IF Q6.1 = Yes,,PhenX,PX130202060200,,,,,1 = Not at all,2 = A little,3 = Some,4 = A moderate amount,5 = A lot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX130202_Autonomic_Assessment_Adult_Sweating_Hands_Increased,Have you had any of the following health symptoms during the past 6 months? Is sweating in your hands increased compared to the rest of your body?,DCW_130202.doc,encoded values,,,,,,,PhenX,PX130202070100,,,,,1 = Yes,0 = No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
