VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,
PX911004_Factor_Nine_Population_Chromogenic_Extended_Sample_Collection,Were the sample collection procedures outlined in Lippi et al. (2012) followed?,DCW_911004.doc,enumerated,,,,,,,PhenX,PX911004010100,,,,,Yes,No
PX911004_Factor_Nine_Population_Chromogenic_Extended_Sample_Collection_Venous_Statsis,Were steps taken to prevent prolonged venous statsis?,DCW_911004.doc,enumerated,,,,,,,PhenX,PX911004010200,,,,,Yes,No
PX911004_Factor_Nine_Population_Chromogenic_Extended_Sample_Collection_Nonhemolyzed,Were nonhemolyzed samples collected?,DCW_911004.doc,enumerated,,,,,,,PhenX,PX911004010300,,,,,Yes,No
PX911004_Factor_Nine_Population_Chromogenic_Extended_Sample_Collection_Blood_Draw,Was the order of blood draw recorded?,DCW_911004.doc,enumerated,,,,,,,PhenX,PX911004010400,,,,,Yes,No
PX911004_Factor_Nine_Population_Chromogenic_Extended_Sample_Collection_Tubes,Were collection tubes filled and mixed?,DCW_911004.doc,enumerated,,,,,,,PhenX,PX911004010500,,,,,Yes,No
PX911004_Factor_Nine_Population_Chromogenic_Extended_Sample_Collection_Venipuncture,Was blood collected by direct venipuncture into 3.2% sodium citrate tubes?,DCW_911004.doc,enumerated,,,,,,,PhenX,PX911004010600,,,,,Yes,No
PX911004_Factor_Nine_Population_Chromogenic_Extended_Sample_Collection_Tubes_Filled,Were the tubes filled within 11% of the fill line?,DCW_911004.doc,enumerated,,,,,,,PhenX,PX911004010700,,,,,Yes,No
PX911004_Factor_Nine_Population_Chromogenic_Extended_Sample_Collection_Tubes_Second,Was a second tube collected?,DCW_911004.doc,enumerated,,,,,,,PhenX,PX911004010800,,,,,Yes,No
PX911004_Factor_Nine_Population_Chromogenic_Extended_Sample_Collection_Tubes_Winged,Was a winged butterfly collection system used?,DCW_911004.doc,enumerated,,,,,,,PhenX,PX911004010900,,,,,Yes,No
PX911004_Factor_Nine_Population_Chromogenic_Extended_Sample_Collection_Tubes_Discard,Was a discard tube drawn?,DCW_911004.doc,enumerated,,,,,ASK IF Q1.9=YES,,PhenX,PX911004011000,,,,,Yes,No
PX911004_Factor_Nine_Population_Chromogenic_Extended_Sample_Processing,Were the sample collection and processing procedures outlined in Adcock Funk et al. (2012) followed?,DCW_911004.doc,enumerated,,,,,,,PhenX,PX911004020100,,,,,Yes,No
PX911004_Factor_Nine_Population_Chromogenic_Extended_Sample_Processing_Sodium_Citrate,Did unprocessed or processed sodium citrate samples remain capped and at room temperature until testing?,DCW_911004.doc,enumerated,,,,,,,PhenX,PX911004020200,,,,,Yes,No
PX911004_Factor_Nine_Population_Chromogenic_Extended_Sample_Processing_Refrigerated,Were samples refrigerated or stored on ice or in an ice bath?,DCW_911004.doc,enumerated,,,,,,,PhenX,PX911004020300,,,,,Yes,No
PX911004_Factor_Nine_Population_Chromogenic_Extended_Sample_Processing_Transportation,Were samples transported vertically?,DCW_911004.doc,enumerated,,,,,,,PhenX,PX911004020400,,,,,Yes,No
PX911004_Factor_Nine_Population_Chromogenic_Extended_Sample_Processing_Agitation,Were samples agitated during transportation?,DCW_911004.doc,enumerated,,,,,,,PhenX,PX911004020500,,,,,Yes,No
PX911004_Factor_Nine_Population_Chromogenic_Extended_Sample_Processing_Storage_Unprocessed,Were samples stored as unprocessed sodium citrate whole blood samples?,DCW_911004.doc,enumerated,,,,,,,PhenX,PX911004020600,,,,,Yes,No
PX911004_Factor_Nine_Population_Chromogenic_Extended_Sample_Processing_Storage_Whole_Blood,Were samples stored as whole blood samples centrifuged and maintained in sodium citrate tubes?,DCW_911004.doc,enumerated,,,,,,,PhenX,PX911004020700,,,,,Yes,No
PX911004_Factor_Nine_Population_Chromogenic_Extended_Sample_Processing_Storage_Plasma,Were samples stored as plasma processed by centrifugation and aliquoting into a second tube?,DCW_911004.doc,enumerated,,,,,,,PhenX,PX911004020800,,,,,Yes,No
