VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,
PX091502_Interview_Date,Today's Date?,DCW_091502.doc,Date,,,,,Month Day Year,,PhenX,PX091502010000,,,,,,,,,,
PX091502_Interview_Location,Where are you completing this questionnaire?,DCW_091502.doc,string,,,,,,,PhenX,PX091502020000,,,,,,,,,,
PX091502_Child_Birth_Date,Date of Child's Birth?,DCW_091502.doc,Date,,,,,Month Day Year,,PhenX,PX091502030000,,,,,,,,,,
PX091502_Child_Gender,Sex?,DCW_091502.doc,enumerated,,,,,,,PhenX,PX091502040000,,,,,Male,Female,,,,
PX091502_Child_Height_Feet,Current Height (feet/inches)?,DCW_091502.doc,integer,,,,,feet,,PhenX,PX091502050100,,,,,,,,,,
PX091502_Child_Height_Inches,Current Height (feet/inches)?,DCW_091502.doc,integer,,,,,inches,,PhenX,PX091502050200,,,,,,,,,,
PX091502_Child_Weight_Pound,Current Weight (pound)?,DCW_091502.doc,integer,,,,,,,PhenX,PX091502060000,,,,,,,,,,
PX091502_Child_Grade_In_School,Grade in school (if applicable)?,DCW_091502.doc,integer,,0,12,,,,PhenX,PX091502070000,,,,,0..12,,,,,
PX091502_Child_Racial_Ethnic,Racial/Ethnic Background of your Child?,DCW_091502.doc,enumerated,,,,,,,PhenX,PX091502080000,,,,,American Indian,Asian-American,African-American,Hispanic,White/not Hispanic,Other or unknown
PX091502_Child_Snore_Ever,"WHILE SLEEPING, DOES YOUR CHILD ever snore?",DCW_091502.doc,enumerated,,,,,,,PhenX,PX091502090100,,,,,Yes,No,Don't know,,,
PX091502_Child_Snore_More_Half_Time,"WHILE SLEEPING, DOES YOUR CHILD snore more than half the time?",DCW_091502.doc,enumerated,,,,,,,PhenX,PX091502090200,,,,,Yes,No,Don't know,,,
PX091502_Child_Always_Snore,"WHILE SLEEPING, DOES YOUR CHILD always snore?",DCW_091502.doc,enumerated,,,,,,,PhenX,PX091502090300,,,,,Yes,No,Don't know,,,
PX091502_Child_Snore_Loudly,"WHILE SLEEPING, DOES YOUR CHILD snore loudly?",DCW_091502.doc,enumerated,,,,,,,PhenX,PX091502090400,,,,,Yes,No,Don't know,,,
PX091502_Child_Heavy_Loud_Breathing,"WHILE SLEEPING, DOES YOUR CHILD have ""heavy"" or loud breathing?",DCW_091502.doc,enumerated,,,,,,,PhenX,PX091502090500,,,,,Yes,No,Don't know,,,
PX091502_Child_Trouble_Struggle_Breathing,"WHILE SLEEPING, DOES YOUR CHILD have trouble breathing, or struggle to breathe?",DCW_091502.doc,enumerated,,,,,,,PhenX,PX091502090600,,,,,Yes,No,Don't know,,,
