VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_Difficulty_Hearing,Do you have any difficulty with your hearing?,DCW_201501.doc,enumerated,,,,,,,PhenX,PX201501010000,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_Which_Ear_Affected,In which ear(s) do you have a hearing difficulty?,DCW_201501.doc,enumerated,,,,,,,PhenX,PX201501010100,,,,,Left,Right,Both,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_Age_First_Noticed_Hearing_Difficulty,At what age did you first notice a hearing difficulty?,DCW_201501.doc,enumerated,,,,,,,PhenX,PX201501010200,,,,,I have had a hearing difficulty since I was born,My hearing difficulty developed during my childhood years (before the age of 15),My hearing difficulty developed between the ages of 15 and 40,My hearing difficulty developed after the age of 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_How_Quickly_Difficulty_Developed,How quickly did your hearing difficulty develop?,DCW_201501.doc,enumerated,,,,,,,PhenX,PX201501010300,,,,,Suddenly (over a few days),Over a few months,Over several years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_Reason_For_Difficulty,"Do you know the reason for your hearing difficulty? (if there is a separate cause for each of your ears, please note them accordingly)",DCW_201501.doc,enumerated,,,,,,,PhenX,PX201501010400,,,,,I have no idea about the cause of my hearing problem,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_Reason_For_Difficulty_Describe,"Do you know the reason for your hearing difficulty? (if there is a separate cause for each of your ears, please note them accordingly) Describe:",DCW_201501.doc,string,,,,,,,PhenX,PX201501010401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_Hearing_Vary_Day_To_Day,Does your hearing vary from day to day?,DCW_201501.doc,enumerated,,,,,,,PhenX,PX201501010500,,,,,No,"Yes, in both ears","Yes, in my left ear","Yes, in my right ear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_Background_Noise,"Do you find it very difficult to follow a conversation if there is background noise (e.g. TV, radio, children playing)?",DCW_201501.doc,enumerated,,,,,,,PhenX,PX201501020000,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_Sensitive_Loud_Sounds,Are you particularly sensitive to loud sounds?,DCW_201501.doc,enumerated,,,,,,,PhenX,PX201501030000,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_Fullness_In_Ears,Do you sometimes feel a fullness or blockage in your ears?,DCW_201501.doc,enumerated,,,,,,,PhenX,PX201501040000,,,,,No,"Yes, in my left ear","Yes, in my right ear","Yes, in both ears",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_Tinnitus,"Nowadays, do you ever get noises in your head or ears (tinnitus) which usually last longer than five minutes?",DCW_201501.doc,enumerated,,,,,,,PhenX,PX201501050000,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_Disease_Caused_Hearing_Get_Worse,Have you ever had an ear disease that has caused your hearing to get worse?,DCW_201501.doc,enumerated,,,,,,,PhenX,PX201501060000,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_Ear_Discharge,"Have you ever had discharge of blood or pus, or smelly discharge (not wax) from either ear?",DCW_201501.doc,enumerated,,,,,,,PhenX,PX201501070000,,,,,No,I don't know,From my left ear,From my right ear,From both ears,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_Ear_Operation,Have you ever had an ear operation?,DCW_201501.doc,enumerated,,,,,,,PhenX,PX201501080000,,,,,No,I don't know,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_EarOperation1_Type,"Write down what type of operation, or why the operation was performed",DCW_201501.doc,string,,,,,,,PhenX,PX201501080101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_EarOperation1_Which_Ear,Which ear?,DCW_201501.doc,enumerated,,,,,,,PhenX,PX201501080102,,,,,left ear,right ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_EarOperation1_Year,Which year? (approximately),DCW_201501.doc,integer,,,,,,,PhenX,PX201501080103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_EarOperation2_Type,"Write down what type of operation, or why the operation was performed",DCW_201501.doc,string,,,,,,,PhenX,PX201501080201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_EarOperation2_Which_Ear,Which ear?,DCW_201501.doc,enumerated,,,,,,,PhenX,PX201501080202,,,,,left ear,right ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_EarOperation2_Year,Which year? (approximately),DCW_201501.doc,integer,,,,,,,PhenX,PX201501080203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_EarOperation3_Type,"Write down what type of operation, or why the operation was performed",DCW_201501.doc,string,,,,,,,PhenX,PX201501080301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_EarOperation3_Which_Ear,Which ear?,DCW_201501.doc,enumerated,,,,,,,PhenX,PX201501080302,,,,,left ear,right ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_EarOperation3_Year,Which year? (approximately),DCW_201501.doc,integer,,,,,,,PhenX,PX201501080303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_EarOperation4_Type,"Write down what type of operation, or why the operation was performed",DCW_201501.doc,string,,,,,,,PhenX,PX201501080401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_EarOperation4_Which_Ear,Which ear?,DCW_201501.doc,enumerated,,,,,,,PhenX,PX201501080402,,,,,left ear,right ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_EarOperation4_Year,Which year? (approximately),DCW_201501.doc,integer,,,,,,,PhenX,PX201501080403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_Dizziness,Have you ever suffered from attacks of dizziness in which things seem to spin around you?,DCW_201501.doc,enumerated,,,,,,,PhenX,PX201501090000,,,,,No,"Yes, within the last year","Yes, more than a year ago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_Unsteady_In_Dark,Do you feel unsteady when walking in the dark?,DCW_201501.doc,enumerated,,,,,,,PhenX,PX201501100000,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_Mothers_Father_Country,Where did your mother's father (your maternal grandfather) originate from?  Specify Country,DCW_201501.doc,string,,,,,,,PhenX,PX201501110101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_Mothers_Father_Region,Where did your mother's father (your maternal grandfather) originate from?  Specify Region,DCW_201501.doc,string,,,,,,,PhenX,PX201501110102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX201501_Mothers_Mother_Country,Where did your mother's mother (your maternal grandmother) originate from?  Specify Country,DCW_201501.doc,string,,,,,,,PhenX,PX201501110201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
