"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX940401_Covid_Vaccination_Adult_Ever_Given","Have you ever been given a vaccine for COVID-19 or enrolled in the COVID-19 clinical vaccine trials?","DCW_940401.doc","encoded values","","","","","","","PhenX","PX940401010000","","","","","1 = Yes","2 = No","3 = Don't know","4 = Refuse to answer","","","",""
"PX940401_Covid_Vaccination_Adult_Number_Doses","How many doses of the COVID-19 vaccine have you received to date?","DCW_940401.doc","encoded values","","","","","","","PhenX","PX940401020000","","","","","1 = 1","2 = 2","3 = 3","4 = Other (specify)","5 = Refuse to answer","","",""
"PX940401_Covid_Vaccination_Adult_Number_Doses_Other","Please specify the other number of doses of the COVID-19 vaccine you have received to date","DCW_940401.doc","integer","","","","","ASK IF \"How many doses of the COVID-19 vaccine have you received to date?\" = \"4\"","","PhenX","PX940401030000","","","","","","","","","","","",""
"PX940401_Covid_Vaccination_Adult_Dose_First","Which COVID-19 vaccine trial or vaccine were you given as your first dose?","DCW_940401.doc","encoded values","","","","","","","PhenX","PX940401040000","","","","","1 = Moderna mRNA vaccine","2 = Pfizer mRNA vaccine","3 = AstraZeneca attenuated viral vaccine","4 = Johnson & Johnson","5 = Novavax","6 = Other (specify)","7 = Don't know","8 = Refuse to answer"
"PX940401_Covid_Vaccination_Adult_Dose_First_Other","Please specify other COVID-19 vaccine you were given as your first dose","DCW_940401.doc","string","","","","","ASK IF \"Which COVID-19 vaccine trial or vaccine were you given as your first dose?\" = \"6\"","","PhenX","PX940401040100","","","","","","","","","","","",""
"PX940401_Covid_Vaccination_Adult_Dose_Placebo","If you participated in the COVID-19 clinical vaccine trials, do you know if you received a placebo or the vaccine? A placebo is a harmless substance that looks like the vaccine being tested, but does not contain active ingredients.","DCW_940401.doc","encoded values","","","","","","","PhenX","PX940401050000","","","","","1 = I received a placebo","2 = I received the vaccine","3 = I was not part of the COVID-19 clinical vaccine trials","4 = Don't know","5 = Refuse to answer","","",""
"PX940401_Covid_Vaccination_Adult_Dose_First_Month","In which month did you receive the first dose of the COVID-19 vaccine? *must provide value","DCW_940401.doc","integer","","","","","","","PhenX","PX940401060000","","","","","","","","","","","",""
"PX940401_Covid_Vaccination_Adult_Dose_First_Day","On which day did you receive the first dose of the COVID-19 vaccine? *must provide value","DCW_940401.doc","integer","","","","","","","PhenX","PX940401070000","","","","","","","","","","","",""
"PX940401_Covid_Vaccination_Adult_Dose_First_Year","In which year did you receive the first dose of the COVID-19 vaccine? *must provide value","DCW_940401.doc","integer","","","","","","","PhenX","PX940401080000","","","","","","","","","","","",""
"PX940401_Covid_Vaccination_Adult_Dose_Second","Which COVID-19 vaccine trial or vaccine were you given as your second dose?","DCW_940401.doc","encoded values","","","","","","","PhenX","PX940401090000","","","","","1 = Moderna mRNA vaccine","2 = Pfizer mRNA vaccine","3 = AstraZeneca attenuated viral vaccine","4 = Johnson & Johnson","5 = Novavax","6 = Other (specify)","7 = Don't know","8 = Refuse to answer"
"PX940401_Covid_Vaccination_Adult_Dose_Second_Other","Please specify other COVID-19 vaccine you were given as your second dose","DCW_940401.doc","string","","","","","ASK IF \"Which COVID-19 vaccine trial or vaccine were you given as your second dose?\" = \"6\"","","PhenX","PX940401090100","","","","","","","","","","","",""
"PX940401_Covid_Vaccination_Adult_Dose_Second_Month","In which month did you receive or will you receive the second dose of the COVID-19 vaccine? *must provide value","DCW_940401.doc","integer","","","","","","","PhenX","PX940401100000","","","","","","","","","","","",""
"PX940401_Covid_Vaccination_Adult_Dose_Second_Day","On which day did you receive or will you receive the second dose of the COVID-19 vaccine? *must provide value","DCW_940401.doc","integer","","","","","","","PhenX","PX940401110000","","","","","","","","","","","",""
"PX940401_Covid_Vaccination_Adult_Dose_Second_Year","In which year did you receive or will you receive the second dose of the COVID-19 vaccine? *must provide value","DCW_940401.doc","integer","","","","","","","PhenX","PX940401120000","","","","","","","","","","","",""
"PX940401_Covid_Vaccination_Adult_Dose_Third","Which COVID-19 vaccine trial or vaccine were you given as your third dose?","DCW_940401.doc","encoded values","","","","","","","PhenX","PX940401130000","","","","","1 = Moderna mRNA vaccine","2 = Pfizer mRNA vaccine","3 = AstraZeneca attenuated viral vaccine","4 = Johnson & Johnson","5 = Novavax","6 = Other (specify)","7 = Don't know","8 = Refuse to answer"
"PX940401_Covid_Vaccination_Adult_Dose_Third_Other","Please specify other COVID-19 vaccine you were given as your third dose","DCW_940401.doc","string","","","","","ASK IF \"Which COVID-19 vaccine trial or vaccine were you given as your third dose?\" = \"6\"","","PhenX","PX940401130100","","","","","","","","","","","",""
"PX940401_Covid_Vaccination_Adult_Dose_Third_Month","In which month did you receive or will you receive the third dose of the COVID-19 vaccine? *must provide value","DCW_940401.doc","integer","","","","","","","PhenX","PX940401140000","","","","","","","","","","","",""
"PX940401_Covid_Vaccination_Adult_Dose_Third_Day","On which day did you receive or will you receive the third dose of the COVID-19 vaccine? *must provide value","DCW_940401.doc","integer","","","","","","","PhenX","PX940401150000","","","","","","","","","","","",""
"PX940401_Covid_Vaccination_Adult_Dose_Third_Year","In which year did you receive or will you receive the third dose of the COVID-19 vaccine? *must provide value","DCW_940401.doc","integer","","","","","","","PhenX","PX940401160000","","","","","","","","","","","",""
