VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121701_Depression_Adult_Falling_Asleep,What response best decribes you falling asleep over the past seven days?,DCW_121701.doc,encoded values,,,,,,,PhenX,PX121701010000,,,,,0 = I never take longer than 30 minutes to fall asleep. ,"1 = I take at least 30 minutes to fall asleep, less than half the time. ","2 = I take at least 30 minutes to fall asleep, more than half the time. ","3 = I take more than 60 minutes to fall asleep, more than half the time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121701_Depression_Adult_Sleep_Night,What response best decribes your sleep during the night over the past seven days?,DCW_121701.doc,encoded values,,,,,,,PhenX,PX121701020000,,,,,0 = I do not wake up at night.,"1 = I have a restless, light sleep with a few brief awakenings each night.","2 = I wake up at least once a night, but I go back to sleep easily.","3 = I awaken more than once a night and stay awake for 20 minutes or more, more than half the time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121701_Depression_Adult_Waking_Up,What response best decribes you waking up too early over the past seven days?,DCW_121701.doc,encoded values,,,,,,,PhenX,PX121701030000,,,,,"0 = Most of the time, I awaken no more than 30 minutes before I need to get up. ","1 = More than half the time, I awaken more than 30 minutes before I need to get up. ","2 =  I almost always awaken at least one hour or so before I need to, but I go back to sleep eventually. ","3 = I awaken at least one hour before I need to, and can't go back to sleep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121701_Depression_Adult_Sleeping_Too_Much,What response best decribes you sleeping too much over the past seven days?,DCW_121701.doc,encoded values,,,,,,,PhenX,PX121701040000,,,,,"0 =  I sleep no longer than 7�8 hours/night, without napping during the day. ",1 =  I sleep no longer than 10 hours in a 24-hour period including naps. ,2 = I sleep no longer than 12 hours in a 24-hour period including naps. ,3 = I sleep longer than 12 hours in a 24-hour period including naps.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121701_Depression_Adult_Feeling_Sad,What response best decribes you feeling sad over the past seven days?,DCW_121701.doc,encoded values,,,,,,,PhenX,PX121701050000,,,,,0 =  I do not feel sad. ,1 =  I feel sad less than half the time. ,2 = I feel sad more than half the time. ,3 = I feel sad nearly all of the time.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121701_Depression_Adult_Decreased_Appetite,What response best decribes you have decreased appetite over the past seven days?,DCW_121701.doc,encoded values,,,,,,,PhenX,PX121701060000,,,,,0 =  There is no change in my usual appetite. ,1 =  I eat somewhat less often or lesser amounts of food than usual. ,2 =  I eat much less than usual and only with personal effort. ,"3 = I rarely eat within a 24-hour period, and only with extreme personal effort or when others persuade me to eat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121701_Depression_Adult_Increased_Appetite,What response best decribes you have increased appetite over the past seven days?,DCW_121701.doc,encoded values,,,,,,,PhenX,PX121701070000,,,,,0 = There is no change from my usual appetite. ,1 = I feel a need to eat more frequently than usual. ,2 =  I regularly eat more often and/or greater amounts of food than usual. ,3 = I feel driven to overeat both at mealtime and between meals.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121701_Depression_Adult_Decreased_Weight,What response best decribes you have decreased weight over the past two weeks?,DCW_121701.doc,encoded values,,,,,,,PhenX,PX121701080000,,,,,0 = I have not had a change in my weight. ,1 = I feel as if I've had a slight weight loss. ,2 = I have lost 2 pounds or more. ,3 = I have lost 5 pounds or more.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121701_Depression_Adult_Increased_Weight,What response best decribes you increased weight over the past two weeks?,DCW_121701.doc,encoded values,,,,,,,PhenX,PX121701090000,,,,,0 = I have not had a change in my weight. ,1 = I feel as if I've had a slight weight gain. ,2 = I have gained 2 pounds or more. ,3 = I have gained 5 pounds or more.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121701_Depression_Adult_Concentration,What response best decribes you concentration/decision making over the past seven days?,DCW_121701.doc,encoded values,,,,,,,PhenX,PX121701100000,,,,,0 = There is no change in my usual capacity to concentrate or make decisions. ,1 = I occasionally feel indecisive or find that my attention wanders. ,"2 = Most of the time, I struggle to focus my attention or to make decisions. ",3 = I cannot concentrate well enough to read or cannot make even minor decisions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121701_Depression_Adult_View_Yourself,What response best decribes your view of yourself over the past seven days?,DCW_121701.doc,encoded values,,,,,,,PhenX,PX121701110000,,,,,0 = I see myself as equally worthwhile and deserving as other people. ,1 = I am more self-blaming than usual. ,2 = I largely believe that I cause problems for others. ,3 = I think almost constantly about major and minor defects in myself.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121701_Depression_Adult_Death_Suicide,What response best decribes your thoughts of death or suicide over the past seven days?,DCW_121701.doc,encoded values,,,,,,,PhenX,PX121701120000,,,,,0  = I do not think of suicide or death. ,1 = I feel that life is empty or wonder if it's worth living. ,2 = I think of suicide or death several times a week for several minutes. ,"3 = I think of suicide or death several times a day in some detail, or I have made specific plans for suicide or have actually tried to take my life.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121701_Depression_Adult_General_Interest,What response best decribes your general Interest over the past seven days?,DCW_121701.doc,encoded values,,,,,,,PhenX,PX121701130000,,,,,0 = There is no change from usual in how interested I am in other people or activities. ,1 = I notice that I am less interested in people or activities. ,2 = I find I have interest in only one or two of my formerly pursued activities. ,3 = I have virtually no interest in formerly pursued activities. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121701_Depression_Adult_Energy_Level,What response best decribes your energy Level over the past seven days?,DCW_121701.doc,encoded values,,,,,,,PhenX,PX121701140000,,,,,0 = There is no change in my usual level of energy. ,1 = I get tired more easily than usual. ,"2 = I have to make a big effort to start or finish my usual daily activities (for example, shopping, homework, cooking, or going to work). ",3 = I really cannot carry out most of my usual daily activities because I just don't have the energy. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121701_Depression_Adult_Slowed_Down,What response best decribes you feeling slowed down over the past seven days?,DCW_121701.doc,encoded values,,,,,,,PhenX,PX121701150000,,,,,"0 =  I think, speak, and move at my usual rate of speed. ",1 = I find that my thinking is slowed down or my voice sounds dull or flat. ,2 = It takes me several seconds to respond to most questions and I'm sure my thinking is slowed. ,3 = I am often unable to respond to questions without extreme effort.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX121701_Depression_Adult_Restless,What response best decribes you feeling restless over the past seven days?,DCW_121701.doc,encoded values,,,,,,,PhenX,PX121701160000,,,,,0 = I do not feel restless. ,"1 = I'm often fidgety, wringing my hands, or need to shift how I am sitting.  ",2 = I have impulses to move about and am quite restless. ,"3 =  At times, I am unable to stay seated and need to pace around.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
