VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,
PX241101_Health_Wellness_Before_Pregnancy_Physical_Health,In the 3 Months Before Pregnancy: How would you describe your physical health (including physical illness and Injury?,DCW_241101.doc,enumerated,,,,,,,PhenX,PX241101010100,,,,,Excellent,Very Good,Good,Fair,Poor,Declined,Don?t Know,,,,,
PX241101_Health_Wellness_During_Pregnancy_Physical_Health,During Pregnancy: How would you describe your physical health (including physical illness and Injury?,DCW_241101.doc,enumerated,,,,,,,PhenX,PX241101010200,,,,,Excellent,Very Good,Good,Fair,Poor,Declined,Don?t Know,,,,,
PX241101_Health_Wellness_After_Pregnancy_Physical_Health,During Your Child?s First Year of Life: How would you describe your physical health (including physical illness and Injury?,DCW_241101.doc,enumerated,,,,,,,PhenX,PX241101010300,,,,,Excellent,Very Good,Good,Fair,Poor,Declined,Don?t Know,,,,,
PX241101_Health_Wellness_Before_Pregnancy_Mental_Health,"In the 3 Months Before Pregnancy: How would you describe your mental health (including stress, depression, and problems with emotion)?",DCW_241101.doc,enumerated,,,,,,,PhenX,PX241101020100,,,,,Excellent,Very Good,Good,Fair,Poor,Declined,Don?t Know,,,,,
PX241101_Health_Wellness_During_Pregnancy_Mental_Health,"During Pregnancy: How would you describe your mental health (including stress, depression, and problems with emotion)?",DCW_241101.doc,enumerated,,,,,,,PhenX,PX241101020200,,,,,Excellent,Very Good,Good,Fair,Poor,Declined,Don?t Know,,,,,
PX241101_Health_Wellness_After_Pregnancy_Mental_Health,"During Your Child?s First Year of Life: How would you describe your mental health (including stress, depression, and problems with emotion)?",DCW_241101.doc,enumerated,,,,,,,PhenX,PX241101020300,,,,,Excellent,Very Good,Good,Fair,Poor,Declined,Don?t Know,,,,,
PX241101_Health_Wellness_Before_Pregnancy_Poor_Health,"In the 3 Months Before Pregnancy: How often did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?",DCW_241101.doc,enumerated,,,,,,,PhenX,PX241101030100,,,,,Excellent,Very Good,Good,Fair,Poor,Declined,Don?t Know,,,,,
PX241101_Health_Wellness_During_Pregnancy_Poor_Health,"During Pregnancy: How often did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?",DCW_241101.doc,enumerated,,,,,,,PhenX,PX241101030200,,,,,Excellent,Very Good,Good,Fair,Poor,Declined,Don?t Know,,,,,
PX241101_Health_Wellness_After_Pregnancy_Poor_Health,"During Your Child?s First Year of Life: How often did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?",DCW_241101.doc,enumerated,,,,,,,PhenX,PX241101030300,,,,,Excellent,Very Good,Good,Fair,Poor,Declined,Don?t Know,,,,,
PX241101_Health_Wellness_Before_Pregnancy_Loss_Control,In the 3 Months Before Pregnancy: How often did you feel that you were unable to control the important things in your life?,DCW_241101.doc,enumerated,,,,,,,PhenX,PX241101040100,,,,,Excellent,Very Good,Good,Fair,Poor,Declined,Don?t Know,,,,,
PX241101_Health_Wellness_During_Pregnancy_Loss_Control,During Pregnancy: How often did you feel that you were unable to control the important things in your life?,DCW_241101.doc,enumerated,,,,,,,PhenX,PX241101040200,,,,,Excellent,Very Good,Good,Fair,Poor,Declined,Don?t Know,,,,,
PX241101_Health_Wellness_After_Pregnancy_Loss_Control,During Your Child?s First Year of Life: How often did you feel that you were unable to control the important things in your life?,DCW_241101.doc,enumerated,,,,,,,PhenX,PX241101040300,,,,,Excellent,Very Good,Good,Fair,Poor,Declined,Don?t Know,,,,,
PX241101_Health_Wellness_Before_Pregnancy_Feel_Control,In the 3 Months Before Pregnancy: How often did you feel that things were going your way?,DCW_241101.doc,enumerated,,,,,,,PhenX,PX241101050100,,,,,Excellent,Very Good,Good,Fair,Poor,Declined,Don?t Know,,,,,
PX241101_Health_Wellness_During_Pregnancy_Feel_Control,During Pregnancy: How often did you feel that things were going your way?,DCW_241101.doc,enumerated,,,,,,,PhenX,PX241101050200,,,,,Excellent,Very Good,Good,Fair,Poor,Declined,Don?t Know,,,,,
PX241101_Health_Wellness_After_Pregnancy_Feel_Control,During Your Child?s First Year of Life: How often did you feel that things were going your way?,DCW_241101.doc,enumerated,,,,,,,PhenX,PX241101050300,,,,,Excellent,Very Good,Good,Fair,Poor,Declined,Don?t Know,,,,,
