"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX992501_Multisystem_Inflammatory_Syndrome_Fever","Fever (measured or self-reported)","DCW_992501.doc","enumerated","","","","","","","PhenX","PX992501010000","","","","","Yes","No","Unknown","",""
"PX992501_Multisystem_Inflammatory_Syndrome_Fever_Duration","Duration of fever","DCW_992501.doc","integer","days","","","","","","PhenX","PX992501010100","","","","","","","","",""
"PX992501_Multisystem_Inflammatory_Syndrome_Rash","Rash","DCW_992501.doc","enumerated","","","","","","","PhenX","PX992501020000","","","","","Yes","No","Unknown","",""
"PX992501_Multisystem_Inflammatory_Syndrome_Rash_Type","If yes type of rash","DCW_992501.doc","string","","","","","ASK IF \"Rash\" = \"Yes\"","","PhenX","PX992501020100","","","","","","","","",""
"PX992501_Multisystem_Inflammatory_Syndrome_Bilateral_Conjunctivitis","Bilateral conjunctivitis","DCW_992501.doc","enumerated","","","","","","","PhenX","PX992501030000","","","","","Yes, purulent","Yes, non-purulent","No","Unknown",""
"PX992501_Multisystem_Inflammatory_Syndrome_Oral_Mucosal_Sign","Oral mucosal inflammation signs","DCW_992501.doc","enumerated","","","","","","","PhenX","PX992501040000","","","","","Yes","No","Unknown","",""
"PX992501_Multisystem_Inflammatory_Syndrome_Peripheral_Cutaneous_Sign","Peripheral cutaneous inflammation signs (hands or feet)","DCW_992501.doc","enumerated","","","","","","","PhenX","PX992501050000","","","","","Yes","No","Unknown","",""
"PX992501_Multisystem_Inflammatory_Syndrome_Hypotension","Hypotension (age-appropriate)","DCW_992501.doc","enumerated","","","","","","","PhenX","PX992501060000","","","","","Yes","No","Unknown","",""
"PX992501_Multisystem_Inflammatory_Syndrome_Tachycardia","Tachycardia (age-appropriate)","DCW_992501.doc","enumerated","","","","","","","PhenX","PX992501070000","","","","","Yes","No","Unknown","",""
"PX992501_Multisystem_Inflammatory_Syndrome_Prolonged_Capillary_Refill_Time","Prolonged capillary refill time","DCW_992501.doc","enumerated","","","","","","","PhenX","PX992501080000","","","","","Yes","No","Unknown","",""
