VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,
PX100902_Male_Reproductive_Tract_Birth_Defects_Testicles_Undescended,Were you born with one or both of your testicles undescended (not completely down in the scrotum)?,DCW_100902.doc,encoded values,,,,,,,PhenX,PX100902010000,,,,,1 = Yes,2 = Don't know (go to 5),,
PX100902_Male_Reproductive_Tract_Birth_Defects_Testicles_Undescended_Specify,"If yes, which testicle was this?",DCW_100902.doc,encoded values,,,,,,,PhenX,PX100902020000,,,,, a = Right,b = Left,c = Both,
PX100902_Male_Reproductive_Tract_Birth_Defects_Testicle_Scrotum,Did the testicle go down to the scrotum by itself?,DCW_100902.doc,encoded values,,,,,,,PhenX,PX100902030000,,,,,0 = No,1 = Yes,2 = Don’t know,
PX100902_Male_Reproductive_Tract_Birth_Defects_Treatment,Did you receive treatment?,DCW_100902.doc,encoded values,,,,,,,PhenX,PX100902040000,,,,,0 = No,1 = Yes,2 = Don’t know,
PX100902_Male_Reproductive_Tract_Birth_Defects_Treatment_Type,What treatment?,DCW_100902.doc,enumerated,,,,,,,PhenX,PX100902050000,,,,,Surgery,Hormones,Other (specify),Don't know
PX100902_Male_Reproductive_Tract_Birth_Defects_Medical_Diagnosis_Penis_Scotum_Urinary_Tract_Testicles,"Has your doctor or another health care provider ever told you that you had other diseases of the penis, testicles, urinary tract or scrotum (specify)?",DCW_100902.doc,string,,,,,,,PhenX,PX100902060000,,,,,,,,
PX100902_Male_Reproductive_Tract_Birth_Defects_Medical_Diagnosis_Hypospadias,Has your doctor or another health care provider ever told you that you had hypospadias?,DCW_100902.doc,enumerated,,,,,,,PhenX,PX100902070000,,,,,No,Yes,,
PX100902_Male_Reproductive_Tract_Birth_Defects_Recent_Treatment,What was your most recent treatment or medication (if any)?,DCW_100902.doc,string,,,,,,,PhenX,PX100902080100,,,,,,,,
PX100902_Male_Reproductive_Tract_Birth_Defects_Recent_Treatment_Encoded,What was your most recent treatment or medication (if any)?,DCW_100902.doc,enumerated,,,,,,,PhenX,PX100902080200,,,,,Don't know,,,
PX100902_Male_Reproductive_Tract_Birth_Defects_Recent_Treatment_Year,What was your most recent treatment or medication (if any)?,DCW_100902.doc,integer,year,,,,,,PhenX,PX100902080300,,,,,,,,
