VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,
PX240701_Pregnancy_Difficulties_Health_Problems,"Are you feeling bothered, upset or worried at this point in your pregnancy about the effect of ongoing health problems such as high blood pressure of diabetes on your pregnancy?",DCW_240701.doc,enumerated,,,,,,,PhenX,PX240701010100,,,,,01 = Not at all,02 = Somewhat,03 = Very much,Refused,,,,,,,,
PX240701_Pregnancy_Difficulties_Feeling_Tired,"Are you feeling bothered, upset or worried at this point in your pregnancy about feeling tired and having low energy during your pregnancy?",DCW_240701.doc,enumerated,,,,,,,PhenX,PX240701010200,,,,,01 = Not at all,02 = Somewhat,03 = Very much,Refused,,,,,,,,
PX240701_Pregnancy_Difficulties_Medical_Bills,"Are you feeling bothered, upset or worried at this point in your pregnancy about paying for your medical care during pregnancy?",DCW_240701.doc,enumerated,,,,,,,PhenX,PX240701010300,,,,,01 = Not at all,02 = Somewhat,03 = Very much,Refused,,,,,,,,
PX240701_Pregnancy_Difficulties_Body_Shape_Weight,"Are you feeling bothered, upset or worried at this point in your pregnancy about changes in your weight and body shape during pregnancy?",DCW_240701.doc,enumerated,,,,,,,PhenX,PX240701010400,,,,,01 = Not at all,02 = Somewhat,03 = Very much,Refused,,,,,,,,
PX240701_Pregnancy_Difficulties_Unhealthy_Baby,"Are you feeling bothered, upset or worried at this point in your pregnancy about whether you might have an unhealthy baby?",DCW_240701.doc,enumerated,,,,,,,PhenX,PX240701010500,,,,,01 = Not at all,02 = Somewhat,03 = Very much,Refused,,,,,,,,
PX240701_Pregnancy_Difficulties_Vomiting,"Are you feeling bothered, upset or worried at this point in your pregnancy about physical symptoms of pregnancy such as vomiting?",DCW_240701.doc,enumerated,,,,,,,PhenX,PX240701010600,,,,,01 = Not at all,02 = Somewhat,03 = Very much,Refused,,,,,,,,
PX240701_Pregnancy_Difficulties_Swollen_Feet,"Are you feeling bothered, upset or worried at this point in your pregnancy about physical symptoms of pregnancy such as swollen feet?",DCW_240701.doc,enumerated,,,,,,,PhenX,PX240701010700,,,,,01 = Not at all,02 = Somewhat,03 = Very much,Refused,,,,,,,,
PX240701_Pregnancy_Difficulties_Backaches,"Are you feeling bothered, upset or worried at this point in your pregnancy about physical symptoms of pregnancy such as backaches?",DCW_240701.doc,enumerated,,,,,,,PhenX,PX240701010800,,,,,01 = Not at all,02 = Somewhat,03 = Very much,Refused,,,,,,,,
PX240701_Pregnancy_Difficulties_Quality_Medical_Care,"Are you feeling bothered, upset or worried at this point in your pregnancy about the quality of your medical care during pregnancy?",DCW_240701.doc,enumerated,,,,,,,PhenX,PX240701010900,,,,,01 = Not at all,02 = Somewhat,03 = Very much,Refused,,,,,,,,
PX240701_Pregnancy_Difficulties_Family_Issues,"Are you feeling bothered, upset or worried at this point in your pregnancy about working or caring for your family during pregnancy?",DCW_240701.doc,enumerated,,,,,,,PhenX,PX240701011000,,,,,01 = Not at all,02 = Somewhat,03 = Very much,Refused,,,,,,,,
PX240701_Pregnancy_Difficulties_Alcohol_Cigarettes_Drugs,"Are you feeling bothered, upset or worried at this point in your pregnancy about whether the baby might be affected by alcohol, cigarettes, or drugs that you have taken?",DCW_240701.doc,enumerated,,,,,,,PhenX,PX240701011100,,,,,01 = Not at all,02 = Somewhat,03 = Very much,Refused,,,,,,,,
PX240701_Pregnancy_Difficulties_Other_Things,"Are you feeling bothered, upset or worried at this point in your pregnancy about other thanks that have to do with your pregnancy, the birth, or the baby?",DCW_240701.doc,enumerated,,,,,,,PhenX,PX240701011200,,,,,01 = Not at all,02 = Somewhat,03 = Very much,Refused,,,,,,,,
PX240701_Pregnancy_Difficulties_Describe,"If you answered ?somewhat? or ?very much? to ?other things? [(1) above], will you please list what those things are?",DCW_240701.doc,string,,,,,,,PhenX,PX240701020000,,,,,,,,,,,,,,,,
