"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX021503_Weight_Measured_Weight_Cast_Prosthesis","Record whether the participant is wearing a cast or prosthesis.","DCW_21503.doc","enumerated","","","","","","","PhenX","PX0215030010000","","","","","Yes","No"
"PX021503_Weight_Measured_Weight_Cast_Prosthesis_Location","If the participant is wearing one, record the location of a cast or medical prosthesis.","DCW_21503.doc","string","","","","","","","PhenX","PX0215030010100","","","","","",""
"PX021503_Weight_Measured_Weight_Clothing","Record whether or not the participant is wearing street (as opposed to a gown) clothes during measurement.","DCW_21503.doc","enumerated","","","","","","","PhenX","PX0215030020000","","","","","Yes","No"
"PX021503_Weight_Measured_Weight_Lbs_First","Measured weight in lbs, first measurement","DCW_21503.doc","decimal","Pound","","","","","","PhenX","PX0215030030000","","","","","",""
"PX021503_Weight_Measured_Weight_Lbs_Second","Measured weight in lbs, second measurement","DCW_21503.doc","decimal","Pound","","","","","","PhenX","PX0215030030100","","","","","",""
"PX021503_Weight_Measured_Weight_Lbs_Third","Measured weight in lbs, third measurement","DCW_21503.doc","decimal","Pound","","","","","","PhenX","PX0215030030200","","","","","",""
"PX021503_Weight_Measured_Weight_Lbs_Average","Measured weight in lbs, average","DCW_21503.doc","decimal","Pound","","","","","","PhenX","PX0215030030300","","","","","",""
"PX021503_Weight_Measured_Weight_Kg_First","Measured weight in kg, first measurement","DCW_21503.doc","decimal","Kilogram","","","","","","PhenX","PX0215030040000","","","","","",""
"PX021503_Weight_Measured_Weight_Kg_Second","Measured weight in kg, second measurement","DCW_21503.doc","decimal","Kilogram","","","","","","PhenX","PX0215030040100","","","","","",""
"PX021503_Weight_Measured_Weight_Kg_Third","Measured weight in kg, third measurement","DCW_21503.doc","decimal","Kilogram","","","","","","PhenX","PX0215030040200","","","","","",""
"PX021503_Weight_Measured_Weight_Kg_Average","Measured weight in kg, average","DCW_21503.doc","decimal","Kilogram","","","","","","PhenX","PX0215030040300","","","","","",""
