"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX850901_Pretransfusion_Antibody_Reporting_RBC_Antibody_Screen_Result","RBC Antibody Screen Result","DCW_850901.doc","enumerated","","","","","","","PhenX","PX850901010100","","","","","Negative","Positive","","","","","","","","","","","",""
"PX850901_Pretransfusion_Antibody_Reporting_RBC_Antibody_Screen_Result_Positive","RBC Antibody Screen Result Positive","DCW_850901.doc","enumerated","","","","","ASK IF \"RBC Antibody Screen Result\" =  'Positive'","","PhenX","PX850901010101","","","","","Rh D","Rh C","Rh c","Rh E","Rh e","Kell","Fya","Fyb","Jka","Jkb","S","s","Other",""
"PX850901_Pretransfusion_Antibody_Reporting_RBC_Antibody_Screen_Result_Positive_Other","RBC Antibody Screen Result Positive Other","DCW_850901.doc","string","","","","","ASK IF \"RBC Antibody Screen Result Positive\" =  'Other'","","PhenX","PX850901010102","","","","","","","","","","","","","","","","","",""
"PX850901_Pretransfusion_Antibody_Reporting_RBC_Antibody_Screen_Date_Sample","RBC Antibody Screen Date of sample (If different from above) dd-mon-yy","DCW_850901.doc","date","","","","","","","PhenX","PX850901010200","","","","","","","","","","","","","","","","","",""
"PX850901_Pretransfusion_Antibody_Reporting_RBC_Antibody_Screen_Not_Done","RBC Antibody Screen Not Done","DCW_850901.doc","enumerated","","","","","","","PhenX","PX850901010300","","","","","Not Done","","","","","","","","","","","","",""
"PX850901_Pretransfusion_Antibody_Reporting_RBC_Antibody_Screen_Comments","RBC Antibody Screen Comments","DCW_850901.doc","string","","","","","","","PhenX","PX850901010400","","","","","","","","","","","","","","","","","",""
"PX850901_Pretransfusion_Antibody_Reporting_Direct_Antiglobulin_Result","Direct Antiglobulin Result","DCW_850901.doc","enumerated","","","","","","","PhenX","PX850901020100","","","","","Negative","Positive","","","","","","","","","","","",""
"PX850901_Pretransfusion_Antibody_Reporting_Direct_Antiglobulin_Result_Positive_Polyspecific","Direct Antiglobulin Result Positive Polyspecific","DCW_850901.doc","enumerated","","","","","ASK IF \"Direct Antiglobulin Result\" =  'Positive'","","PhenX","PX850901020101","","","","","-","+ w-4+","","","","","","","","","","","",""
"PX850901_Pretransfusion_Antibody_Reporting_Direct_Antiglobulin_Result_Positive_IgG","Direct Antiglobulin Result Positive IgG","DCW_850901.doc","enumerated","","","","","ASK IF \"Direct Antiglobulin Result\" =  'Positive'","","PhenX","PX850901020102","","","","","-","+ w-4+","","","","","","","","","","","",""
"PX850901_Pretransfusion_Antibody_Reporting_Direct_Antiglobulin_Result_Positive_C3","Direct Antiglobulin Result Positive C3","DCW_850901.doc","enumerated","","","","","ASK IF \"Direct Antiglobulin Result\" =  'Positive'","","PhenX","PX850901020103","","","","","-","+ w-4+","","","","","","","","","","","",""
"PX850901_Pretransfusion_Antibody_Reporting_Date_Sample","Direct Antiglobulin Date of sample (If different from above) dd-mon-yy","DCW_850901.doc","date","","","","","","","PhenX","PX850901020200","","","","","","","","","","","","","","","","","",""
"PX850901_Pretransfusion_Antibody_Reporting_Not_Done","Direct Antiglobulin Not Done","DCW_850901.doc","enumerated","","","","","","","PhenX","PX850901020300","","","","","Not Done","","","","","","","","","","","","",""
"PX850901_Pretransfusion_Antibody_Reporting_Comments","Direct Antiglobulin Comments","DCW_850901.doc","string","","","","","","","PhenX","PX850901020400","","","","","","","","","","","","","","","","","",""
