VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220701_Disease_ProgressionRegression_024Mo_Date,Date of assessment:,DCW_220701.doc,date,,,,,,,PhenX,PX220701010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220701_Disease_ProgressionRegression_024Mo_Age,Age at assessment:,DCW_220701.doc,integer,,,,,,,PhenX,PX220701020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220701_Disease_ProgressionRegression_024Mo_Parental_Consanguinity,Parental consanguinity:,DCW_220701.doc,string,,,,,,,PhenX,PX220701030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220701_Disease_ProgressionRegression_024Mo_Parental_AgePresentation,Age at presentation:,DCW_220701.doc,integer,,,,,,,PhenX,PX220701040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220701_Disease_ProgressionRegression_024Mo_ParentalAge_AgeDx,Age at clinical diagnosis:,DCW_220701.doc,integer,,,,,,,PhenX,PX220701050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220701_Disease_ProgressionRegression_024Mo_Genotype,Genotype if known:,DCW_220701.doc,string,,,,,,,PhenX,PX220701060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220701_Disease_ProgressionRegression_024Mo_Biochemical_Phenotype,Biochemical phenotype if known:,DCW_220701.doc,string,,,,,,,PhenX,PX220701070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220701_Disease_ProgressionRegression_024Mo_Basis_Diagnosis,"Basis of clinical diagnosis e.g. MRI, blood / CSF lactate",DCW_220701.doc,string,,,,,,,PhenX,PX220701080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220701_Disease_ProgressionRegression_024Mo_Reduced_FetalMovement,reduced fetal movements,DCW_220701.doc,string,,,,,,,PhenX,PX220701090000,,,,,Yes,No,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220701_Disease_ProgressionRegression_024Mo_Pregnancy_Cardiomyopathy_Antenatal,cardiomyopathy on antenatal scans,DCW_220701.doc,string,,,,,,,PhenX,PX220701100000,,,,,Yes,No,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX220701_Disease_ProgressionRegression_024Mo_Abnormalities_FetalScan,abnormalities on fetal anomaly scan,DCW_220701.doc,string,,,,,,,PhenX,PX220701110000,,,,,Yes,No,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
