VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX221201_Growth_Chart_Patient_Name,Patient Name,DCW_221201.doc,string,,,,,,,PhenX,PX221201010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX221201_Growth_Chart_Patient_Record_Number,Patient Record Number,DCW_221201.doc,string,,,,,,,PhenX,PX221201020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX221201_Growth_Chart_Mothers_Stature,Mother of Patient - Stature,DCW_221201.doc,string,,,,,,,PhenX,PX221201030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX221201_Growth_Chart_Fathers_Stature,Father of Patient - Stature,DCW_221201.doc,string,,,,,,,PhenX,PX221201040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX221201_Growth_Chart_Gestational_Age,Child's Gestational Age,DCW_221201.doc,string,,,,,,,PhenX,PX221201050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX221201_Growth_Chart_Date_Of_Birth,Child's Date of Birth,DCW_221201.doc,string,,,,,,,PhenX,PX221201060000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX221201_Growth_Chart_Birth_Weight,Child's Birth Weight,DCW_221201.doc,string,,,,,,,PhenX,PX221201070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX221201_Growth_Chart_Birth_Length,Child's Birth length,DCW_221201.doc,string,,,,,,,PhenX,PX221201080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX221201_Growth_Chart_Notable_Comments,Notable comments on birth,DCW_221201.doc,string,,,,,,,PhenX,PX221201090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX221201_Growth_Chart_Today's_Date,Today's date,DCW_221201.doc,string,,,,,,,PhenX,PX221201100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX221201_Growth_Chart_Child's_Age,Child's age today,DCW_221201.doc,string,,,,,,,PhenX,PX221201110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX221201_Growth_Chart_Current_Weight,Child's weight today,DCW_221201.doc,string,,,,,,,PhenX,PX221201120000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX221201_Growth_Chart_Current_LengthStature,Child's length/stature today,DCW_221201.doc,string,,,,,,,PhenX,PX221201130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX221201_Growth_Chart_Current_Notable_Comments,Notable comments on current growth,DCW_221201.doc,string,,,,,,,PhenX,PX221201140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX221201_Growth_Chart_Current_BMI,"BMI = [Weight (kg) ÷ (Stature (cm) x Stature (cm))] x 10,000",DCW_221201.doc,string,,,,,,,PhenX,PX221201150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX221201_Growth_Chart_Short_Stature,Short Stature table,DCW_221201.doc,string,,,,,,,PhenX,PX221201160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX221201_Growth_Chart_Low_WeightForLength,Low Weight Table,DCW_221201.doc,string,,,,,,,PhenX,PX221201170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX221201_Growth_Chart_High_WeightForLength,High Weight Table,DCW_221201.doc,string,,,,,,,PhenX,PX221201180000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX221201_Growth_Chart_Obesity,BMI for Age Obeese,DCW_221201.doc,string,,>/= 95th,,,,,PhenX,PX221201190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX221201_Growth_Chart_Overweight,BMI for Age Overweight,DCW_221201.doc,string,,>85th,<95th,,,,PhenX,PX221201200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
