"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Conditions_Hiv","Do you have any of the following conditions? HIV","DCW_940301.doc","encoded values","","","","","","","PhenX","PX940301010100","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Conditions_Hepatitis_B","Do you have any of the following conditions? Hepatitis B virus (HBV)","DCW_940301.doc","encoded values","","","","","","","PhenX","PX940301010200","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Conditions_Hepatitis_C","Do you have any of the following conditions? Hepatitis C virus (HCV)","DCW_940301.doc","encoded values","","","","","","","PhenX","PX940301010300","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Conditions_Tuberculosis","Do you have any of the following conditions? Tuberculosis (TB)","DCW_940301.doc","encoded values","","","","","","","PhenX","PX940301010400","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Conditions_Hypertension","Do you have any of the following conditions? Hypertension","DCW_940301.doc","encoded values","","","","","","","PhenX","PX940301010500","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Conditions_Diabetes","Do you have any of the following conditions? Diabetes","DCW_940301.doc","encoded values","","","","","","","PhenX","PX940301010600","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Conditions_Chronic_Kidney_Disease","Do you have any of the following conditions? Chronic kidney disease","DCW_940301.doc","encoded values","","","","","","","PhenX","PX940301010700","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Conditions_Cancer","Do you have any of the following conditions? Cancer","DCW_940301.doc","encoded values","","","","","","","PhenX","PX940301010800","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Conditions_Cardiovascular_Disease","Do you have any of the following conditions? Cardiovascular disease","DCW_940301.doc","encoded values","","","","","","","PhenX","PX940301010900","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","",""
"PX940301_Covid19_Community_Comorbidities_Care_Engagement_Conditions_Asthma","Do you have any of the following conditions? Asthma","DCW_940301.doc","encoded values","","","","","","","PhenX","PX940301011000","","","","","1 = Yes","0 = No","","","","","","","","","","","","","","",""
