VARNAME,VARDESC,DOCFILE,TYPE,UNITS,MIN,MAX,RESOLUTION,COMMENT1,COMMENT2,VARIABLE_SOURCE,SOURCE_VARIABLE_ID,VARIABLE_MAPPING,UNIQUEKEY,COLLINTERVAL,ORDER,VALUES,
PX031102_Substances_Lifetime_Use_Sedatives,"Have you EVER used any of these medicines or drugs? Sedatives or tranquilizers, for exampleッarbs, downers, Amﾍ-bee-en, Lunesta, phenobarbital, pentobarbital, Halﾍ-see-on, Tuinal, Nembutal, Seconal, Librium, Valium, Xanax, benzodiayzﾍ-a-peens, tranks, Ativan.",DCW_031102.doc,encoded values,,,,,,,PhenX,PX031102010100,,,,,Yes = Classify as ever (drug) use,No = Classify as non (drug) user 
PX031102_Substances_Lifetime_Use_Painkillers,"Have you EVER used any of these medicines or drugs? Painkillers, for exampleノethadone, codeine, Demerol, Vyﾍ-ko-din, Oxi-konﾍ-tin, opium, oxy, Perﾍ-ko-set, Dill-oddﾍ-id, Perﾍ-ko-dan, morphine.",DCW_031102.doc,encoded values,,,,,,,PhenX,PX031102010200,,,,,Yes = Classify as ever (drug) use,No = Classify as non (drug) user 
PX031102_Substances_Lifetime_Use_Mariwaﾍ-na,"Have you EVER used any of these medicines or drugs? Mariwaﾍ-na, including THC, for exampleヘeed, pot, dope, hashish, Mary Jane, joint, blunt.",DCW_031102.doc,encoded values,,,,,,,PhenX,PX031102010300,,,,,Yes = Classify as ever (drug) use,No = Classify as non (drug) user 
PX031102_Substances_Lifetime_Use_Cocaine,"Have you EVER used any of these medicines or drugs? Cocaine or crack, for exampleッlow, rock, snow.",DCW_031102.doc,encoded values,,,,,,,PhenX,PX031102010400,,,,,Yes = Classify as ever (drug) use,No = Classify as non (drug) user 
PX031102_Substances_Lifetime_Use_Stimulants,"Have you EVER used any of these medicines or drugs? Stimulants, for exampleアddﾍ-erall, Concerta, Syﾍ-lert, Pro-vigﾍ-il, Ritalin or Dexedrine, speed, amphetamine, methamphetamine, uppers, bennies, pep pills, crystal, crank.",DCW_031102.doc,encoded values,,,,,,,PhenX,PX031102010500,,,,,Yes = Classify as ever (drug) use,No = Classify as non (drug) user 
PX031102_Substances_Lifetime_Use_Club_Drugs,"Have you EVER used any of these medicines or drugs? Club drugs, for exampleギDMA, ecstasy, GHB, Ro-hipﾍ-nol, kettﾍ-amine, Special K, XTC, roofies.",DCW_031102.doc,encoded values,,,,,,,PhenX,PX031102010600,,,,,Yes = Classify as ever (drug) use,No = Classify as non (drug) user 
PX031102_Substances_Lifetime_Use_Hallucinogens,"Have you EVER used any of these medicines or drugs? Hallucinogens, for exampleキSD, acid, PCP, mescaline, pay-oﾍ-tee, sillosyﾍ-bin, mushrooms, angel dust, cactus.",DCW_031102.doc,encoded values,,,,,,,PhenX,PX031102010700,,,,,Yes = Classify as ever (drug) use,No = Classify as non (drug) user 
PX031102_Substances_Lifetime_Use_Inhalants ,"Have you EVER used any of these medicines or drugs? Inhalants or solvents, for exampleハitrous oxide, lighter fluid, gasoline, cleaning fluid, glue, poppers, whippets.",DCW_031102.doc,encoded values,,,,,,,PhenX,PX031102010800,,,,,Yes = Classify as ever (drug) use,No = Classify as non (drug) user 
PX031102_Substances_Lifetime_Use_Heroin,"Have you EVER used any of these medicines or drugs? Heroin, for exampleピmack, black tar, poppy. ",DCW_031102.doc,encoded values,,,,,,,PhenX,PX031102010900,,,,,Yes = Classify as ever (drug) use,No = Classify as non (drug) user 
PX031102_Substances_Lifetime_Use_Other,"Have you EVER used any of these medicines or drugs? Any OTHER medicines or drugs, for exampleピteroids, Elavil, Thoarazine, or Haldol.",DCW_031102.doc,encoded values,,,,,,,PhenX,PX031102011000,,,,,Yes = Classify as ever (drug) use,No = Classify as non (drug) user 
PX031102_Substances_Lifetime_Use_Classify_User,Is at least one category marked in 1a?,DCW_031102.doc,encoded values,,,,,,,PhenX,PX031102020000,,,,,1 = Yes - Classify as ever (drug) user,2 = No - Classify as non (drug) user
