"VARNAME","VARDESC","DOCFILE","TYPE","UNITS","MIN","MAX","RESOLUTION","COMMENT1","COMMENT2","VARIABLE_SOURCE","SOURCE_VARIABLE_ID","VARIABLE_MAPPING","UNIQUEKEY","COLLINTERVAL","ORDER","VALUES"
"PX530502_Balloon_Analogue_Risk_Task_Balloon_1","Enter in the number of clicks for Balloon #1.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502010000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_2","Enter in the number of clicks for Balloon #2.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502020000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_3","Enter in the number of clicks for Balloon #3.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502030000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_4","Enter in the number of clicks for Balloon #4.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502040000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_5","Enter in the number of clicks for Balloon #5.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502050000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_6","Enter in the number of clicks for Balloon #6.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502060000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_7","Enter in the number of clicks for Balloon #7.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502070000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_8","Enter in the number of clicks for Balloon #8.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502080000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_9","Enter in the number of clicks for Balloon #9.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502090000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_10","Enter in the number of clicks for Balloon #10.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502100000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_11","Enter in the number of clicks for Balloon #11.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502110000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_12","Enter in the number of clicks for Balloon #12.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502120000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_13","Enter in the number of clicks for Balloon #13.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502130000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_14","Enter in the number of clicks for Balloon #14.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502140000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_15","Enter in the number of clicks for Balloon #15.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502150000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_16","Enter in the number of clicks for Balloon #16.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502160000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_17","Enter in the number of clicks for Balloon #17.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502170000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_18","Enter in the number of clicks for Balloon #18.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502180000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_19","Enter in the number of clicks for Balloon #19.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502190000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_20","Enter in the number of clicks for Balloon #20.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502200000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_21","Enter in the number of clicks for Balloon #21.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502210000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_22","Enter in the number of clicks for Balloon #22.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502220000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_23","Enter in the number of clicks for Balloon #23.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502230000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_24","Enter in the number of clicks for Balloon #24.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502240000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_25","Enter in the number of clicks for Balloon #25.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502250000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_26","Enter in the number of clicks for Balloon #26.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502260000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_27","Enter in the number of clicks for Balloon #27.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502270000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_28","Enter in the number of clicks for Balloon #28.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502280000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_29","Enter in the number of clicks for Balloon #29.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502290000","","","","","","","","","","","","","","","","","","","","","","","",""
"PX530502_Balloon_Analogue_Risk_Task_Balloon_30","Enter in the number of clicks for Balloon #30.","DCW_530502.doc","integer","","0","","","","","PhenX","PX530502300000","","","","","","","","","","","","","","","","","","","","","","","",""
